,bitstring,occurrences,rxn_count
0,1111000001001000000010001000000001000100000000001000000000100010000001000100000000100010000100000100000010001000000110011000000001001110000010011001000000110011010001101111000011111111101111111,1,60
1,0011000001000100000010001000000001000100000100001000000000100010000001001000000000100010000010001000000010011000000110011000000001100101000010011010000000110111010001101110000001111111111111111,23,60
2,0011000001010000000010001000000001000100000010001000000001000010000001000100000000100010000100000100000010011000000110011001000001100101000010011010000000110111010001101110000001111111111111111,26,61
3,0011000001000100000010001000000001000100000010001000000000100010000001001000000000100010000001000100000010011000000110011000000001100101000010011010000000110111010001101110000001111111111111111,243,60
4,0011000001000100000010001000000001000100000100001000000000100100000001000100000000100010000010000100000010011000000110011000000001100101000010011010000000110111010001101110000001111111111111111,23,60
5,0011000001010000000010001000000001000100000100001000000000100010000001000100000000101000000001000100000010011000000110011000000001100101000010011011000000110111100001101110000001111111111111111,31,61
6,0011000001000100000010001000000001000100000010001000000000100010000001000100000000100100000001000100000010011000000110011000000001001100000010101001000000110111010001110111100001111111111011111,45,60
7,0011000001000100000010001000000001000100000010001000000000100010000001001000000000100100000001000100000010011000000110011000000001100101000010011011000000110111010001110111000001110111111101111,55,60
8,0011000001000100000010001000000001000100000010001000000000100010000001001000000000100010000001000100000010011000000110011000000001100101000010011000000000110111100001101110000001111111111111111,30,59
9,0011000001000100000110001000000001000100000010011000000001000100000001001000000000100100000001001100000011001001000110101001000001001100100010101010000000100111010001110111000001111111111011111,25,64
10,0011000001000100000010001000000001000100000100001000000001000010000001001000000000100010000001000100000010011000000110011010000001100101000010101010000000110111010001101110000001111111111111111,23,61
11,0011000001000100000010001000000001000100000010001000000000100010000001001000000000100010000001000100000010011000000110011000000001001100000010011011000000110111010001101110100001111011111111111,21,60
12,0011000001000100000010001000000001000100000010001000000000100010000001001000000000100010000001000100000010011000000110011000000001100101000010011001000000110111100001101110000001111111111111111,24,60
13,0101000001000100000010001000000001000100000100001000000000100010000001001000000000100010000010000100000010001001000110011000000001001110000010011001000000110011010001101111000011111111101111111,30,60
14,0011000001010000000010001000000001000100000100001000000000100010000001001000000000100100000100000100000010011000000110101001000001100110000010011101000000110111010001110110100001110111111110111,19,61
15,0011000010000100000010001000000001000100000100001000000000100010000001001000000000100010000001000100000010011000000110011000000001100101000010011010000000110111010001101110000001111111111111111,21,60
16,0011000001001000000010001000000001000100000010001000000001000010000001000100000010000010000001000100000010011000000111001001000001001100100010011000000000110111010001101110110001111111110111111,25,61
17,0011000001001000000010001000000001000100010000001000000000100010000001001000000000100100000001000100000010011000000110011000000000100101000010011011000000110111010001110111000001110111111101111,19,59
18,0011000001000100000010001000000001000100000100001000000000100010000001000100000000100100000001000100000010011000000110011000000001001100000010101001000000110111010001110111100001111111111011111,22,60
19,0011000001010000000010001000000001000100000100001000000000100010000001001000000000100100000001000100000010011000000110011000000001001100000010101001000000110111010001110111100001111111111011111,20,60
20,0011000001000100000010001000000001000100000010001000000000100010000001001000000000100100000010000100000010011000000110011000000001001100000010011011000000110111010001101110100001111011111111111,15,60
21,0011000001000100000010001000000001000100000010001000000000100010000001001000000000100010000001000100000010011000000110011000000001100110000010101010000000110111010001101110000001111111111111111,34,60
22,0011000001000100000010001000000001000100000010001000000000100010000001001000000000100100000001000100000010011000000110011000000001001100000010011011000000111011100001101110100001111011111111111,13,60
23,0011000001000100000010001000000001000100000010001000000001000010000001000100000000100100000010001100000010011000000110011000000001100101000010011010000000110111010001110111000001110111111101111,16,60
24,1010000001010000000010001000000001000100000010001000000000100010000001000100000000100010000010000100000010011001000110101001000001100100100010011001000000110111010101110111000001111111110111111,19,63
25,0011000010000100000010001000000001000100000100001000000000100010000001001000000000100010000010000100000010011000000110011000000001100101000010011010000000110111010001101110000001111111111111111,13,60
26,0011000001000100000010001000000001000100000100001000000000100010000001001000000000100010000001000100000010011000000110011000000001100101000010011010000000110111010001101110000001111111111111111,18,60
27,0011000001000100000010001000000001000100000010011000000001000010000001001000000000100010000001000100000010011000000111001001000001001100100010011000000000110111000101101110100001111011111111111,13,61
28,0011000001000100000010001000000001000100010000001000000001000010000001000100000000100110000010000100000010011000000110011000000001001100000000011001000000110111010001101110100001111111111111111,23,60
29,0011000001000100000010001000000001000100000010001000000000100010000001001000000000100010000001000100000010011000000110101010000001100100110010011011000000110111010001101100100001110011111111111,18,61
30,0011000001000100000010001001000001000000010000001000000000100010000001001000000000100100000001000100000010011000000100101000000001001100100010011001000000110111010001101110100001111111111111111,19,60
31,0011000001000100000010001000000001000100000010001000000001001000000001001000000000100010000010000100000010011000000110011000000001100101000010011010000000110111010001101110000001111111111111111,19,60
32,0011000001010000000010001000000001000100000010001000000000100010000001001000000000100010000100000100000010011000000110011000000001001100000010101001000000110111010001110011100001111111111011111,14,59
33,0011000001010100000010001000000001000100000100001000000000100010000001001000000000100100000001000100000000011000000110011000000001001100000010101001000000110111010001110111100001111111111011111,24,60
34,0011000001100000000010001000000001000100000100001000000000100100000001001000000000100010000001010100000010011000000110011000000001100101000010011010000000110111010001101110000001111111111111111,15,61
