,bitstring,occurrences,rxn_count
0,11100000000100010000000001000010000000000010000100000000100001000000000000010000100000000100001000000000001000010000000010000100000000000000100001000000001000100000000000010001000000001000010000000000000100001000000010000010000000000010000100000000100010000000000010001100000000100011000100000001000100010000010001100010000000001000010000000010001001000000001100010001000010001100110000000000110011100100001110011100000000001100011000000011001110100000000011101111010000111011110000000111111111110111111111,1,120
1,01000000000100100000000001000010000000000010000100000000100001000000000000010100000000000100001000000000010000010000000010001100000000000001000001000000010000100000000000010100000000001000010000000000000100001000000001000010000000000010000100000000100011000000000010001100000000100011001000000001001010000000010001100010000000001000010000000010001000100000001000110000000010001100010000000000110011100100001110011100000000001101011000000011001110000000000011101111010000111011110100001011111111111111111011,22,119
2,01000000000100001000000001000010000000000010000100000000100001000000000000010000100000000100001000000000100000010000000010001100000000000000100001000000001000100000000000010010000000001000100000000000000100001000000001000010000000000010000100000000100011000000000010001100000000100011000100000001000010000000010001100010000000001000010000000010001000100000001000110001000010001100100000000000110011100100001110011100000000001100011000000011001110100000000011101111010001111011110000001011111111101011111111,20,118
3,01000000000100001000001000000010000000000010000100000000100010000000000000010000100000000100001000000000001000010000000010000100000000000000100001000000001000100000000000010001000000001001000000000000000100001000000001010000000000000010000100000000100011000000000010001100000000100101001000000001001010010000010001100010000000001000010000000010001000000000001000110001000010001100010000000000110011100100001110011100100000001100011000000011001110000000000011101111010000111011111000000111111111110111111111,19,119
4,01000000000100001000000010000100000000000010000100000000100001000000000000010000100000000100001000000000100000010000000010001100000000000000100001000000001000100000000000010010000000001000100000000000000100001000000001000010000000000010000100000000100011000000000010001100000000100011000100000001000010010000010001100010000000001000010000000010001000100000001000110001000010001100100000000000110011100100001110011100000000001100011000000011001110100000000011101111010001111011110000000011111111101111111111,26,119
5,01000000000100001000000001000010000000000010000100000000100001000000000000010000100000000100001000000000100000010000000010001100000000000000100001000000001000100000000000010010000000001000100000000000000100001000000001000010000000000010000100000000100011000000000010001100000000100011000100000001000010000000010001100010000000001000010000000010001000100000001000110001000010001100100000000000110011100100001110011100100000001100011000000011001111000000000011101111010000111011110000000111111111110111111111,18,119
6,01000000000100001000000001000010000000000010000100000000100001000000000000010000100000000100001000000000001000010000000010001100000000000000100001000000001000100000000000010010000000001000010000000000000100001000000001000010000000000100000100000000100011000000000010001100000000100011000100000001000010010000010001100010000000001000010000000010001000100000001000110001000010001100100000000000110011100100001110011100000000001100011000000011001110100000000011101111010001111011110000000011111111101111111111,92,119
7,01000000000100001000000001000010000000000010000100000000100001000000000000010000100000000100001000000000100000010000000010001100000000000000100001000000001000100000000000010010000000001000100000000000000100001000000001000010000000000010000100000000100011000000000010001100000000100011000100000001000010000000010001100010000000001000010000000010001000100000001000110001000010001100100000000000110011100100001110011100000000001100011000000011001110100000000011101111010001111011110000000011111111101111111111,171,118
8,01000000000100001000000001000100000000000010000100000000100001000000000000010000100000000100001000000000001000010000000010001100000000000000100001000000001000010000000000010010000000001000010000000000000100001000000001000010000000000010000100000000100011000000000010001100000000100101000100000001000010010000010001100010000000001000010000000010001000100000001000110001000010001100100000000000110011100100001110011100000000001100011000000011001110100000000011101111010001111011110000000011111111101111111111,20,119
9,01000000000100001000000001000010000000000010000100000000100001000000000000010000100000000100001000000000001000010000000010001100000000000000100001000000001000100000000000010010000000001000100000000000000100001000000001000010000000000010000100000000100011000000000010001100000000100011000100000001000010000000010001100010000000001000010000000010001000100000001000110001000010001100100000000000110011100100001110011100000000001100011000000011001110100000000011101111010001111011110000000011111111101111111111,39,118
