,bitstring,occurrences,rxn_count
0,110000010001100000010001000000001000100000010001010000000010001000000100010000000010001000000100110000001001100100010001010000001001100100010011010000000110111100001101110000001111110111111111,1,62
1,101000001000100000100100000000001000100000010011010000000010010000000100010000000010010000000101100000001001100100010001001000001001100100010011011000010110011000001101110000001110110110111111,24,60
2,101000001001000000010001000000001000100000010001010000000010001000001000010000000010010000000101100000001001100100010001001000001001100100010011011000000110011010001101110010001110110111111101,37,60
3,101000001100100000010011000000001000100000010001010000000010001000001000010000000010001000000101010000001001100100010001000000001001100100010011010000010110011100001101110000001110110110111111,27,60
4,101000001000100000010100000000001000100000010011010000000010010000000100010000000010010000000101100000001001100100010001001000001001100100010011011000010110011000001101110000001110110110111111,186,60
5,101000001000100000010100000000001000100000010001010000000010010000000100010000000010010000000101100000001001100100010001000000001001100100010011011000010110011000001101110000001110110110111111,38,58
6,101000001001000000010001000000001000100000010001010000000010010000000100010000001000110000000100010000001001100100010001101000001001100100010011011000010110011000001101110000001111111110111111,39,62
7,101000001000100000010011000000001000100000010011010000000010010000000100010000001000010000000101010000001001100100010001001000001001100100010011011000010110011000001101110000001111110110111111,38,62
8,101000001001000000010001000000001000100000010011010000000010010000000100010000000010001000000101100000001001100100010001001000001001100100010011011000000110011000001101110000001110110111111111,37,60
9,101000001000100000010011000000001000100000010011010000000010010000000100010000000010001000000101100000001001100100010001001000001001100100010011011000000110011000001101110000001110110111111111,30,61
10,101000001000100000010011000000001000100000010001010000000010001100010000010000000010001000000100110000001001100100010001001000001001100100010011001000010110011011001100110000001110101110111111,29,61
11,101000001000100000100011000000001000100000010011010000000010001000010000010000000100001000000101100000001001100100010001001000001001100100010011011000000110011000001101110000001110110111111111,24,61
12,101000001000100000010010000000001000100000010001010000000010001000001000010000000010001000000100110000001001100100010001000000001001100100010011001000100110011010001101111100001110011101111111,24,60
13,110000010000100000010011000000001000100000010010010000000010001000001000010000000010010000000100100000001001100100010001010000001001100100010011001000010110011100001101111000001111111110111111,27,62
14,101000001000100000010011000000001000100000010001010000000010010000000110010000000010010000000100010000001001100100010101000000001001100100010011001000010110011100001100110100001110111111111110,38,61
15,101000001000100000010100000000001000100000010001010000000010001000000100010000000010010000000101100000001001100100010001001000001001100100010011011000010110011000001101110000001110110110111111,33,59
16,101000001000100000010011000000001000100000010011010000000010001000001010010000000010010000000100010000001001100100010001000000001001100100010011001000010110111000001100110100001111111110111111,32,62
17,101000001001000000010011000000001000100000010011010000000010001000000100010000000010001000000100110000001001100100010101001000001001100100010011001000000110011000001101110001001111111111101111,32,63
18,101000001001000000010011000000001000100000010010010000000010010000000100010000000100010000000100110000001001100100010001001000001001100100010011001000010110011000001101110000001111111110111111,30,61
19,101000001000100000010011000000001000100000010010010000000010010000000100010000000010001000000100110000001001100100010001000000001001101100010011001000000110011100001101110000001110110111111111,27,60
20,101000001000100000010011000000001000100000010011010000000010010000000100010000001000010000000100010000001001100100010001001000001001100100010011011000010110011000001101110000001111111110111111,47,62
21,101000001001000000010100000000001000100000010011010000000010010000000100010000000010010000000101100000001001100100010001001000001001100100010011011000010110011000001101110000001110110110111111,27,60
22,101000001000100000010100000000001000100000010011010000000010010000000100010000000010010000000101100000001001100100010001001000001001100100010011011000000110011000001101110000001110110111111111,34,60
23,101000001000100000010100000000001000100000010011010000000010010000000100010000000010010000000100100000001001100100010001111000001011100100010011011000000110011010000101110000001110111111111111,26,63
24,101000001000100000100011000000001000100000010011010000000010001000010000010000001000001000000101100000001001100100010001001000001001100100010011011000010110011000001101110000001110110110111111,28,61
25,101000001000100000010011000000001000100000010010010000000010001000001010010000000010010000000100010000001001100100010001000000001001100100010011001000010110111000001100110100001111111110111111,28,61
26,101000001000100000010011000000001000100000010010010000000010010000000110010000000010010000000100010000001001100100010001000000001001100100010011001000010110111000001100110100001111111110111111,28,61
27,101000001000100000010011000000001000100000010011010000000010001000001010010000000010001000000100110000001001100100010001001000001001100100010011001000000110111100101100010100101110011111110111,28,63
