,bitstring,occurrences,rxn_count
0,11000001001000000010001000000001000100000010001000000001000010000001001000000000100010000001000100000011001101000100110011000001001100100010011010000000110011010000101110100001111111111111111,1,62
1,11000001001000000010001000000001000100000010001000000000100010000001001000000000100010000001000100000011001101000100110011000001001100100010011010000000110011010000101110100001111111111111111,34,62
2,11000001100100000010001000000001000100000010001000000001000010000001000100000000100010000001000100000000011001000100110011000001001100100010011001000000111011010001101110100011111111101111111,27,63
3,11000001100000000010001000000001000100000010010000000000100010000001000100000000100010000001000100000010101001000100110101000001001100100010011010000000110111010001101111100001111111011111111,37,63
4,11000001100000000010001000000001010100000010001000000000100010000001000100000000100010000001000100000011001010000000110011000001001100000010011010000000110111010001101110100011111111101111111,23,62
5,11000001100000000010001000000001000100000010001000000001000010000001001000000000100010000010000100000011001001000100110011000001001100100010011010000000111011010001101110100001111111111111111,403,63
6,11000001100000000010001000000001000100000100001000000001000010000001001000000000100010000010000100000011001001000100110011000001001100100010011010000000111011010001101110100001111111111111111,26,63
7,11000001100000000010001000000001000100000010001000000001000010000001001000000000100010000010000100000011001001000100110011000001001100100010011010000000110111010001101110100011111111101111111,36,63
8,11000001100000000010001000000001001000000010001000000001000010000001001000000000100010000010000100000011001001000100110011000001001100100010011010000000111011010001101110100001111111111111111,73,63
9,11000001000100000010001001000010000000000010001000000000100010000001000100000000100010000001000100000011001010000000110011000001001100100010011010000000111011100001101110100001111111111111111,37,62
10,11000001010000000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010101001000100110011000001001100100010011010000000110111010001101111100001111111011111111,32,63
11,11000001000100000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010011001000100110011000001001100100010011010000000110111010001100110100011111111101111111,31,62
12,11000001000100000010001000000001000100000010001000000001000010000001001000000000100010000010000100000011001001000100110011000001001100100010011010000000111011010001101110100001111111111111111,80,63
13,11000001100000000010010000000001000100000010001000000001000010000001001000000000100010000010000100000011001001000100110011000001001100100010011010000000111011010001101110100001111111111111111,28,63
14,11000001010100000010001000000001001000000010010000000001000010000001000100000000100010000001000100000001001100000100110001000001001100000010011010000000111011010001101110100001111111111111111,25,61
15,11000001001100000010001000000001000100000010001000000000100010000001000000000000100010000001000100000000011001000100110011001001010100100010011001000000111011010001001110100001111111111111111,29,62
16,11000001000100000010001000000001000100000010001000000000100010000001001100000000100010000001000100000010011100000100110011000001001100100010011010000000110111010001100110100011111111101111111,36,63
17,11000001010100000010001000000001000100000010001000000000100010000001000100000000100010000100000100000000011001000100110011000001001100000010011001000000111011010001101110100001111111111111111,33,62
18,11000001000100000010001000000001001000000010001000000001000010000001001000000000100010000010000100000011001001000100110011000001001100100010011010000000111011010001101110100001111111111111111,4,63
19,11000001000100000010011000000001000100000010001000000000100010000001000000000000100010000001000100000010101001000100110011001001001100100010011010000000110111010001001111100001111111011111111,3,63
20,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001010000100110011000001001100100010011010000000110111010001101110100011111111101111111,1,63
