,bitstring,occurrences,rxn_count
0,111000001001000000100010000000001000100000010001010000000100010000001000010000000010100000000100000000001001100100010101000000001001100100010011011000000110111100001101110100001111011111111111,1,62
1,011000001001000000100010000000001000100000010001010000000010010000001000010000000010100000000100110000001001100100010101010000001001100100010101001000000111011010001101110000011111111101111111,34,63
2,011000001001000000100010000000001000100000010010010000000010010000001000010000000010001000001000110000001001100100010101000000001001100100010011010000000110111100001101110100001111011111111111,41,62
3,101000001001000000100001000000001000100000010001010000000010010000000100010000000100001000000100010000001001100100010001000000001001100100010011001000000111011000001101110110001111011101111101,45,58
4,011000010001000000100010000000001000100000010100010000000010001000001000010000000010001000001000110000001001100100010101010000001001100100010011010000000110111100001101110100001111011111111111,145,63
5,011000001001000000100010000000001000100000010100010000000010001000001000010000000010001000001000110000001001100100010101000000001001100100010011010000000110111100001101110100001111011111111111,82,62
6,011000010001000000100010000000001000100000010100010000000010001000001000010000000010001000001000110001001001100100010101010000001001100100010011010000000011011010001101110100011111011101111111,36,63
7,011000001001000000100010000000001000100000010100010000000010001000001000010000000010001000001000010000001001100100010101010000001001100100010011011000000110111100001101110100001111011111111111,46,63
8,011000010001000000100010000000001000100000010100010000000010001000001000010000000010001000000100110000001001100100010101000000001001100100010011010000000110111100001101110100001111011111111111,38,62
9,011000011000100000100010000000001000100000010100010000000010001000001000010000000010100000000100110000001001100100010101011000001001100100010011010000000011011010001101110100001111011111111111,54,64
10,011000001010000000100010000000001000100000010100010000000010001000000100010000000010100000000100110000001001100100010101011000001001100100010011010000000111011010001101110100011111011101111111,23,64
11,011000001001000000010010000000001000100000010010010000000010001000001000010000000010001000001000110000001001100100010101010000001001100100010011010000000110111100001101110100001111011111111111,46,63
12,011000001001000000100010000000001000100000010001010000000010001000001000010000000010100000001000110000001001100100010101000000001001100100010011010000000110111100001101110100001111011111111111,37,62
13,011000001010000000010001000000001000100000010010010000000010010000001000010000000010100000001000110000001001101000010101000000001001100100010011010000000110111100001101110100001111011111111111,40,62
14,011000010001000000100010000000001000100000010001010000000010010000000100010000000010001000000100110000001001100100010001010000001001100100010011010000000110111010001101110100101111011111111101,40,62
15,011000010001000000100010000000001000100000010100010000000010001000001000010000000010100000001000110000001001100100010101010000001001100100010011010000000110111100001101110100001111011111111111,37,63
16,011000001001000000100010000000001000100000010100010000000010001000001000010000000010001000001000100000001001100100010101000000001001100100010011011000000110111100001101110100001111011111111111,29,62
17,011000001001000000100010000000001000100000010100010000000010010000001000010000000010001000001000110000001001100100010101000000001001100100010011010000000110111100001101110100001111011111111111,30,62
18,011000001000100000100010000000001000100000010001010000000010010000001000010000000010001000001000110000001001100100010101010000001001100100010011010000000110111100001101110100001111011111111111,35,63
19,011000010001000000100010000000001000100000010100010000000010001000001000010000000010001000001000110000001001100100010101010000001001100100010011001000000110111100001101111000001111111111111111,32,64
20,011000010000100000100010000000001000100000010001010000000010001000001000010000000010100000001000110000001001100100010101010000001001100100010011010000000110111100001101110100001111011111111111,41,63
21,011000001010000000100010000000001000100000010100010000000010001000001000010000000010001000001000110000001001100100010101010000001001100100010011010000000110111100001101110100001111011111111111,38,63
22,011000001000100000100010000000001000100000010100010000000010001000001000010000000010001000000100110000001001100100010101000000001001100100010011010000000110111100001101110100001111011111111111,4,62
23,011000010001000000100001000000001000100000010100010000000010001000001000010000000010001000000100110000001001100100010101000000001001100100010011010000000110111100000101110100001111011111111111,41,61
24,011000010001000000100010000000001000100000010100010000000010001000000100010000000010100000000100110000001001100100010101011000001001100100010011010000000111011010001101110100011111011101111111,1,64
25,011000011001000000100010000000001000100000010100010000000010001000001000010000000010100000000100110000001001100100010101011000001001100100010011010000000011011010001101110100001111011111111111,1,64
26,011000001001000000100010000000001000100000010100010000000010001000001000010000000010001000001000110001001001100100010101010000001001100100010011010000000011011100001101110100011111011101111111,2,63
