,bitstring,occurrences,rxn_count
0,1111000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001001100000010101000000110101000000001100101000010011001000000110011010001110111000001111111111111111,1,63
1,1001000001000100000010001000000011000000000010001000000000100010000001000100000000100100000010000100000010101000000100101001000001001101000010011000000000110011010001110111000001111111111111111,24,59
2,1001000001000100000010001000000011000000000010001000000000100010000001001000000000100010000001001100000010101000000100011001000001010101000010011001000000110011100001101110000111111111100111111,37,60
3,1001000001000100000010001000000011000000000100001000000010000010000001000100000000100010000010000100000010101001000100101000000001001101000010011000000000110011010001101110100001111111111111111,28,59
4,1001000001000100000010001000000010000100000010001000000000100010000001000100000000100100000100000100000010001001000110101001000001100101000010011101000000110011000001110110101001111111111011110,22,60
5,1001000001000100000010001000000011000000000010001000000000100010000001000100000000100010000001000100000010101000000100101001000001001101000010011000000000110011010001110111000001111111111111111,243,59
6,1001000001010000000010001000000011000000000010001000000000100010000001000100000000100010000001000100000010101000000100101001000001001101000010011000000000110011010001110111000001111111111111111,17,59
7,1001000001000100000010001000000011000100000010001000000000100010000001000100000000100100000010001100000010001001000100101001000001100110000010011001000000110011010001110110000001111111111111111,33,61
8,1001000001000100000010001000000011000000000010001000000000100010000001000100000000100010000010000100000010101001000100101000000001001101000010011000000000110011010001101110100001111111111111111,62,59
9,1001000001000100010010001000000010000100000100001000010000100010000001000100000000100010000001001100000010001100000100101001000001000100100010011001000000111111010001101110000000111111111111111,24,62
10,1001000001000100000010001000000001000100000010010000000001000100000001000100000000100100000001000100000010001000000110011010000001001101000010011001000000110011100001110111100001111111011111111,28,60
11,1001000001000100000010001000000011000000000010001000000000100010000001000100000000100010000001001100000010101001000100101000100001100110000010011001000000110011010001110111000001111111110111111,35,61
12,1001000010000100000010001000000011000000000010001000000001000010000001000100000000101000000100000100000010101000000100101001000001001101000010011000000000110011010001110111000001111111111111111,21,59
13,1001000001000100000010001000000001000100000010001000000000100010000001000100000000100100000010001100000010101000000110101000000001001100000010011010000000110011010001110111000001111111111011111,24,59
14,1001000001000100000010001000000011000000000010001000000001000010000001000100000000100010000001000100000010101000000100101001000001001101000010011000000000110011010001110111000001111111111111111,30,59
15,1001000001000100000010001000000011000000000010001000000001000010000001000100000000100010000100000100000010101000000100101001000001001101000010011000000000110011010001110111000001111111111111111,28,59
16,1001000001000100000010001000000001000100000010001000000001000010000001000100000000100010000001001100000010001000000110101000000001001100000010011001000000110011010001110110000001111111111111111,26,58
17,1001000001010000000010001000000001000100000010001000000001000010000001000100000000100100000001001100000010001000000110011000000001100111000010101011000000110111010001110110100001111111111011111,26,62
18,1001000001010000000010001000000100000100000010001000000000100010000001000100000000100100000001010100000010101000000110101000000001001100000010011001000000110011010001110111000001111111111011111,30,59
19,1001000001000100000010001000000011000000000010001000000000100010000001000100000000100010000001000100000010101000000100101010000001001101000010011000000000110011010001110111000001111111111111111,31,59
20,1001000001000100000010001000000001000100000010001000000000100010000001000100000000100010000010001100000010001000000110011000000001001101000010011001000000110011100001110111100001111111011111111,23,60
21,1001000001000100000010001000000011000100000010001000000001000010000001001000000000100010000001000100000010101001000100101001000001100110000010011001000000110011011001110111000001111111101111111,23,62
22,1001000001010000000010001000000101000000000010001000000001000010000001000100000000100010000001001100000010101001000100101001000001100100100010101001000000110011010001110111000001111111111111111,24,62
23,1001000001001000000010001000000001000100000100001000000000100010000001001000000000100100000100000100000010101001000111001001000001100101000010011000000010110011010001110111000001111111110111111,32,61
24,1001000001000100000010001000000011000000000010001000000001000010000001000100000000101000000100000100000010101000000100101001000001001101000010011000000000110011010001110111000001111111111111111,23,59
25,1001000001000100000010001000000011000000000010001000000000100010000001000100000000101000000100000100000010101000000100101001000001001101000010011000000000110011010001110111000001111111111111111,27,59
26,1001000001001000000010001000000010000100000010001000000000100010000001000100000000100100000001000100000010001000000110011000000001001100000010011001000000111011100001110111100001101111011111111,29,58
27,1001000001000100000010001000000010001000000010001000000000100010000001000100000000100010000010001100000010101000000110101000000001001100000010011010000000110011010001110111000001111111111011111,26,59
28,1001000001000100000010001000000010000100000010001000000001000010000001000100000000100010000100000100000010001001000110011000000001001100010010011011000000110011010001110011000101111111100111111,22,59
