,bitstring,occurrences,rxn_count
0,11000001000100000010001000000001000100000011000000000000100010000001010000000000100010000001000100000010011001000101010011000001001100000010011001000000110111010001101110100001111111111111111,26,62
1,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000101010011000001001100100010011010000000110111010101101110100001111011111111111,442,63
2,11000001000100000010001000000001000100000010001000000000100010000001010000000000100010000001000100000011001001000100110011000001001100100010011010000000110111110001100110100000111111011111111,25,61
3,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000010000100000011001001000101010011000001001100100010011001000000110111010101101110100001111011111111111,33,63
4,11000001000100000010001000000001000100000011001000000000100010000011000100000000100010000001000100000010011001000100100011000001001000100010011001000000110111010001101110100001111111011111111,31,62
5,11000001000100000010001000000010000100000010001000000000100010000001000100000000100010000001000100000011001001000101010011000001001100100010011010000000110111010101101110100001111011111111111,32,63
6,11000001000100000010001000000001000100000010001000000000100010000001001000000000100010000001000100000010011001000100110011000001001100000010011010000000110111010001110110100001111111111111111,64,62
7,11000001000100000010001000000001001000000010001000000000100010000001000100000000100010000001000100000011001001000101010011000001001100100010011010000000110111010101101110100001111011111111111,22,63
8,11000001000100000010001000000001000100000100001000000000100010000001000100000000100010000001000100000011001001000101010011000001001100100010011010000000110111010101101110100001111011111111111,25,63
9,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000010011001000100110011000001001100100010011010000000110111010001110110100011111111111111011,34,63
10,11000001000100000010001000000001000100000010001000000001000010000001000100000000100010000001000100000011001001000101010011000001001100100011001010000000110111010101101110100001111011111111111,49,63
11,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000100110011000001010100100010011001000000110111010101101110100001111011111111111,26,63
12,11000001000100000010001000000001100100000010001000000000100010000001001000000000100010000001000100000010011001000000110011000001001110000010011010000000110111010001110110100001111111111111111,22,63
13,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000101011001000001001100100010011101000000110111010001110110000001111111111111111,38,63
14,11000001000100000010001000000001000100000100001000000000100010000001000100000000100010000001000100000011001001000100111001000001001101000010011001000000110111010001101111000001111111111111111,30,63
15,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000100110011000001001100100010011010000000111111010001101110100011101111101111111,27,63
16,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000100110011000001001101000010011001000000110111010001101110100101111111111110111,27,63
17,11000001000100000010001000000001000100000010001000000000100010000001000100000000110010000001001100000011001001000101011001000001001100100010011100000000110111010001101100100011111111101111111,24,64
18,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000100110011000001001100100010011001000000110111010101101110100001111111110111101,22,62
