,bitstring,occurrences,rxn_count
0,1101000010000100000010001000000001000100000010001000000001000010000001000100000000100100000100000100000010011001000110011000000001001000100010011011000000110111010001110111000001111111111011111,1,62
1,1001000010000100000010001000000001000100000100011000000001000010000001001000000000100010000010000100000010011001000110011000100001001100000010011011000000110111010001101110100001111001111111111,16,62
2,1001000001010000000010001000000001000100000100001000000000100100000001001000000000100100000001000100000010011001000110011000000001001101100010011001000000111011010000101110100101111111110111111,26,62
3,1001000010000100000010001000000001000100000100011000000001000010000001000100000000100010000010000100010010011001000110101001000001001100000010011001000001011011010001101110100000111111111111111,30,63
4,1001000001000100000010001000000001000100000010011000000000100010000001001000000000100100000001001100000010001001000111001001000001001100000010011001000000111011010001101110000101111111110111111,21,62
5,1001000001000100000010001000000001000100000100001000000000100010000001000100000000100010000001001100000010101001000111001000001001001100000010011001000000111011010001010110101001111111101111111,26,62
6,1001000010000100000010001000000001000100000100001000000001000010000001000100000000100010000010000100010010011001000110101001000001001110010010011001000000010111000001101111000001111111101111111,28,62
7,1001000010000100000010001000000001000100000100001000000001000010000001001000000000100010000010000100010010011000000110011000000001001100000010011011000000011011100001110110100001111111111111111,35,61
8,1001000010001100000010001000000001000100000100001000000001000010000001001000000000100010000001000100000000011001000110011000000001001100000010011001000000111011010001101110000001111111111111111,27,60
9,1001000010000100000100001000000001000100000100011000000001000010000001001000000000100100000100000100000010011001000110011000100001001100000010011011000000110111010001101110100001111001111111111,21,62
10,1001000001100000000010001000000001000100000100001000000000100010000001001000000000100010000010001100000010001001000110101010000001001100100010101001000000111011011001110110100001111111101111111,20,63
11,1001000010000100000010001000000001000100000100001000000001000010000001001000000000100010000010000100000010011001000110011000000001001100100010011011000000110111010101110110100001111011110111111,18,62
12,1001000001000100000010001000000001000100000100001000000000100010000001000100000000100100000010000100000010011001000110011000000001001100000010011011000000111011010001101110100101111011110111111,28,61
13,1001000010000100000010001000000001000100000100001000000000100010000001001000000000100010000100000100010010011000000110011000000001001111000010011011000000011011100001110110100001111110111111111,24,62
14,1001000010000100000010001000000001000100000100001000000001000010000001001000000000100010000001000100000010011000000110011001000001100101000010011001000000111011100001110110000001111111111111111,21,61
15,1010000001000100000010001000000001000100000010001000000000100010000001000100000000100100000010000100000010001001000110011000000001001101000010011010000000111011010001110111100111111111100011111,23,61
16,1001000001000100000010001000000001000100000100001000000000100100000001000100000000100010000001000100000010001001000110101000000001001100110010101001000000111011010001110110100001111111101111111,128,61
17,1001000010000100000100001000000001000100000100001000000000100010000001001000000000100010000010000100010010011000000110011000000001001101000010011000000000011011100001110110100001111111111111111,29,60
18,1001000010000100000010001000000001000100000100001000000001000010000001001000000000100010000010000100010010011000000110011000000001001101000010011011000000011011100001101110000001111111111111111,165,61
19,1001000010000100000010001000000001000100000100001000000000100010000001000100000000100010000100000100000010011001000110011000100001001100000010011011000000110111010001110110100001111101010111111,23,60
20,1001000010000100000110001000000001000100000010001000000001000010000001001000000000100010000100000100000010011001000110011000000001001100000010011011000000010111010001101110100001111011111111111,24,61
21,1001000010000100000010001000000001000100000100001000000001000010000001001000000000100100000010000100010010011000000110011000000001001101000010011000000000011011100001101110000001111111111111111,19,59
22,1001000001000100000010001000000001001100010000001000000001000010000001000100000000100010000010000100000010001001000100011000000001001100000010011000000000110111011001110110000001111111101111111,19,58
23,1001000010000100000010001000000001000100000100001000000001000010000001001000000000100010000010000100010010011000000110011000000001001101000010011000000000011011100001101110000001111111111111111,46,59
24,1001000010000100000010001000000001000100000100001000000001000010000001001000000000100010000010000100010010011001000110011000000001001101000010011010000000010111100001110110100001111111111111111,24,62
25,1001000001000100000010001000000001000100000100001000000000110000000001000100000000100010000001001100000010101001000110101000000001100101000010101001000000111011010001110111100001111111111011111,26,63
26,1001000001010000000010001000000001000100000100001000000000100010000001000100000000100010000001001100000010101001000110101000000001100101000010101001000000111011010001110111100001111111111011111,25,63
27,1001000010000100000100001000000001000100000100001000000001000010000001000100000000100010000010000100000010011000000110101000000001001100000010011000000000110111000001110111000001111111111111111,20,58
28,1001000010000100000010001000000001000100000010001000000001000100000001000100000000100010000010001100010010011001000110011010000001001100000010011011000000010111010001110110100001111111111111111,15,64
29,1001000001000100000010001000000001000100000100011000000000100100000001000100000000101000000010000100000011011001000110011000000001001100100010011011000000101011010001110110100001111111111111111,27,64
30,1001000010000100000010001000000001000100000100001000000001000010000001001000000000100010000001000100000010011000000110011000100001001100000010011011000000110111010001101110100001111001111111111,19,60
31,1001000010001000000010001000000001000100000100001000000001000010000001001000000000100010000010000100010010011000000110011000000001001101000010011000000000011011100001110110100001111111111111111,20,60
32,1001000001000100000010001000000001000100000100001000000001000100000001000100000000100010000001000100000010001001000110101000000001001100110010101001000000111011010001110110100001111111101111111,3,61
33,1001000001000100000010001000000001000100000010001000000001010000000001000100000000100100000001000100000010101001000111001010000001001100000010011001000000111011010001101110000101111111110111111,1,61
34,1001000001000100000010001000000001000100000100001000000000100100000001000100000000100100000001100100000010001001000110101000000001100101000010101001000000111011010001110110100001111111111011111,1,61
