,bitstring,occurrences,rxn_count
0,1111000001001000000010001000000001000100000010001000000000100000000001000100000000100010000001000100000010001000000110011000000001001100000010011011000000110011100001101111000001111111011111111,1,59
1,0101000001010000000010001001000001000000000100001000000001000010000001000100000000100010000001000100000010001000000100101000000001001100100010011011000000110011010001101111000001111111011111011,56,57
2,0101000001000100000010001001000001000000000100001000000001000010000001000100000000100010000001000100000010001000000100101000000001001100100010011011000000110011010001101111000001111111011111011,65,57
3,0101000001000100000010001000000001100100000100001000000001000010000001000100000000100010000001000100000010001000000100101001000001001100100010011001000000110011000001101110001001111111101111011,365,57
4,0101000001000100000010001000000001100100000100001000000001000010000001000100000000100010000001001100000010001000000100101001000001001100100010011001000000110011000001101111000011111111101111111,35,60
5,0101000001000100000010001001000000001000000100001000000000100010000001000100000000100010000001000100000010001000000100101000000001001100100010011011000000110011010001101111000001111111011111011,25,57
6,0101000001000100000010001000000001000100000010001000000001000010000001000100000000101000000001000100000010001001000110101000000001001100000010101001000000110011000001110111000001111111111111111,30,58
7,0101000001010000000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010001000000110011000000001001100000010011011000000110011100001101111000001111111011111111,42,58
8,0101000001000100000010001000000001100100000010011000000000100010000001000100000000100010000001000100000010001000000100101001000001001100100010011001000000110011000001101111000011111111101111111,31,60
9,0101000001000100000011001001000001000000000100001000000001000010000001000100000000100010000001000100000010001000000100101000000001001100100010011011000000110011010001101111000001111111011111011,37,58
10,0101000001000100000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010001000000110011000000001001100000010011011000000110011100001101111000001111111011111111,30,58
11,0101000001001000000010001001000001000000000010001000000001000010000001000100000001000010000001000100000010001010000100101010000001001100100010011011000000110011010001101111000001111111011111011,27,59
12,0101000001000100000010001001000001000000000100001000000000100010000001000100000000100010000001000100000010001000000100101000000001001100100010011011000000110011010001101111000001111111011111011,28,57
13,0101000001000100000010001000000001100100000100001000000001000010000001000100000000100010000001000100000010001000000100101001000001001100100010011001000000110011000001101111001011111111101111101,29,59
14,0101000001000100000010001000000001100100000100001000000001000010000001000100000000100010000001001100000010001000000100101001000001001101000010011001000000110011000001101110000001111111111111111,23,59
15,0101000001000100000010001001000001000000000100010000000001000010000001000100000000100010000001000100000010001000000100101000000001001100100010011011000000110011010001101111000001111111011111011,25,57
16,0101000001000100000010001000000001100100001000001000000001000010000001000100000000100010000001000100000010001000000100101001000001001100100010011001000000110011000001101110001001111111101111011,25,57
17,0101000001000100000010001001000001000000000010001000000001000010000001000100000000100010000001000100000010001000000100101000000001001100100010011011000000110011010001101111000001111111011111011,34,57
18,0101000001010000000010001000000001000100000100001000000001000010000001001000000000100010000100000100000010001000000110011000000001001100000010011011000000110011100001101111000001111111011111111,29,58
19,0101000001000100000011001001000001000000001000001000000001000010000001000100000000100010000001000100000010001000000100101000000001001100100010011011000000110011010001101111000001111111011111011,30,58
20,0101000010000100000010001001000001000000000100001000000001000010000001000100000000100010000001000100000010001000000100101000000001001100100010011011000000110011010001101111000001111111011111011,32,57
