,bitstring,occurrences,rxn_count
0,1111000001000100000010001000000001000100000100001000000000100100000001000100000000100010000001000100000010001001000110011000000001001000100000011001000000110111100001110110100011111111101111111,1,61
1,1001000001000100000010001000000001000100000100001000000001000100000001000100000000100010000001000100000010001001000110011000000001001100000010011001000000110111010001101110100001111111111111111,173,60
2,1001000001010000000010001000000001000100000100001000000001000100000001000100000000100010000001000100000010001001000110011000000001001100000010011001000000110111010001101110100001111111111111111,407,60
3,1001000001000100000010001000000001000100000100001000000001001000000001000100000000100010000001000100000010001001000110011000000001001100000010011001000000110111010001101110100001111111111111111,38,60
4,1001000001010000000010001000000001000100000100001000000001000100000001000100000000100010000001000100000010001001000110011000000001001100000010011001000000110111100001110110100011111111101111111,63,60
5,1001000001010000000010001000000001000100000100001000000001000100000001000100000000100010000001000100000010001001000110011000000001001101000010011001000000110111010001101110100001111111111111111,27,61
6,1001000001000100000010001000000001100100000010100000000000100100000001001000000000100010000100000100000010001001000100011000000001001100100010011000000000110111010101101110100011111011101111111,34,60
7,1001000001010000000010001000000001000100000100001000000001000100000001000100000000100110000001000100000010001001000110011000000001001100000000011001000000110111010001101110100001111111111111111,25,60
8,1001000001010000000010001000000001000100000100001000000001000100000001000100000000100100000001000100000010001001000110011000000001001100000010011001000000110111010001101110100001111111111111111,42,60
9,1001000001001000000010001000000001000100000100100000000000100100000001000100000000100010000001000100000010001001000110011000000001001100000010011001000000110111010001101110100001111111111111111,41,60
10,1001000001000100000010001000000001000100000010001000000000100100001000001000000000100010000001000100000010001001000110011000000001001100000010011001000000110111100001110110100011111111101111111,38,60
11,1001000001001000000010001000000001000100000100001000000000100010000001000100000000100010000001000100000010001001000110011000000001001100000010011001000000110111010001101110100001111111111111111,35,60
12,1001000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000010001001000111001000000001001100100010011000000000110111010001101110100011111111101111111,43,60
13,1001000001000100000010001000000001000100000100101000000001000100000001000100000000100100000001000100000010001001000110011010000001001100000010011001000000110111010001101110100001111111111111111,32,62
