,bitstring,occurrences,rxn_count
0,111000010000100000010001000000001000100000010001010000000010001000010000010000000010010000000100110000001001100100010001011000001001100100010101000000000110111010001101111010000111111101111010,1,61
1,101000001001000000100001000000001000100000010001010000000010001000001000010000000010001000001000100000001001100100010001001000001001100100010101001000000111011010001101110100101111011100011111,90,59
2,101000010001000000100001000000001000100000010001010000000010001000001000010000000010001000001000100000001001100100010001001000001001100100010101001000000111011010001101110100101111011100011111,80,59
3,101000010001000000100001000000001000100010010001010000000010010000001000010000000101000000000100110000001001110000010001001000001001100100010010010000000110011000001101111000001110111100111110,34,57
4,101000001001000000100010000000001000100000010001010000000010010000000100010000000010001000001000110000001001100100010001001000001001100100010101000000010110111000001101111000100111111100111111,47,60
5,101000001000100000010001000000001000100000010001010000000010010000001000010000000100010000000100100000001001100100010001001000001001100100010011001000000110111010001101111000101111111101111010,31,60
6,101000001001000000010001000000001000100000010001010000000010010000010000010000000010010000001000110100001001100100010001010000001001100100010011000000010110111000001101110100000101011100011111,44,57
7,101000001001000000100001000000001000100000010001010000000010010000001000010000000100001000000100100000001001100100010001010000001001100100010101001000000111011010001101110100101111011100011111,22,59
8,101000001001000000000010000000001000100000010001010000000010010000000000010000000010001000000100010000001001100100010001000000001001100100010011001000000111011100001101110100101111011101010111,22,56
9,101000001001000000100001000000001000100000010001010000000010001000001000010000000010001000001000100000001001100100010001001000001010100100010101001000000111011010001101110100101111011100011111,37,59
10,101000010001000000100001000000001000100000010001010000000010001000001000010000000100100000001000100000001001100100010001011000001001100100010101001000000111011010001101110100101111011100011111,35,60
11,101000010001000000100001000000001000100000010001010000000010001000001000010000000010001000000100100000001001100100010001001000001001100100010101001000000111011010000101110100101111011100011111,29,58
12,101000010001000000100001000000001000100000010001010000000010001000000100010000000100001000000100110000001001100100010001010000001001100100010011000000010110111000001101111000100111111100111111,35,60
13,101000001001000000100001000000001000100000010001010000000010001000001000010000000010001000001000100000001001100110010101011000001001100000010101001000000111001100001101110100001110010110111111,33,59
14,101000001001000000100100000000001000100000010001010000000010001000001000010000000010001000001000100000001001100100010001001000001001100100010101001000000111011010001101110100101111011100011111,28,59
15,101000001001000000100001000000001000100000010001010000000010001000001000010000000010001000000100010000001001100100010001001000001001100100010101001000000111011010001101110100101111011100011111,30,59
16,101000001001000000010100000000001000100000010010010000000010010000000100010000000010001000001000110000001001100100010001001000001001100100010101000000000111011010001101111000101111111111111101,31,62
17,101000001001000000010100000000001000100000010000010000000010010000000100010000000010001000001000110000001001100110010001001000001001100100010101000000000111010010001101111000101111111111111101,3,61
18,101000001001000000100001000000001000100000010001010000000010001000001000010000000010001000001000100000001001100100010001010000001001100100010101001000000111011010001101110100101111011100011111,28,59
19,101000001000100000100001000000001000100000010001010000000010001000010000010000000010001000000100110000001001100100010001001000001001100100010101000000010110111000001101111000100111111100111111,25,60
20,101000001000100000010010000000001000100000010011010000000010001000000100010000000010001000000100110000001001100100010001010000001001101100010011000000001111011010001100110100100111111110101111,24,62
21,101000001000100000100001000000001000100010010001010000000010001000001000010000000010001000000100110000001001100100010001001000001001100100010011000000010110111010001101110000100111111100111111,26,61
22,101000001001000000101000000000001000100000010001010000000010001000001000010000000100100000001000100000001001100100010001011000001001100100010101001000000111011010001101110100101111011100011111,32,60
23,101000001001000000100001000000001000100000010001010000000010001000001000010000000010001000001000100000001001100100010101001000001001100100010101001000000111011010001101110100101111011100011111,29,60
24,101000001001000000100001000000001000100000010001010000000010001000001000010000000010001000001000100000001001100100010001010000001001100100010011001000000111011010001101111000001111111100111110,35,59
25,101000001001000000100001000000001000100000010001010000000010001000001000010000000010100000000100010000001001100100010001001000001001100100010101001000000111011010001101110100101111011100011111,27,59
26,101000001001000000010001000000001000100000011000010000000010010000010000010000000010010000000100100000001001100100010001011000001001100100010011001000000111011011001101110100001111001100011111,24,59
27,101000001001000000100010000000001000100000010001010000000010001000001000010000000010001000001000100000001001100100010001001000001001100100010101001000000111011010001101110100101111011100011111,34,59
28,101000010000100000100010000000001000100000010001010000000010001000001000010000000010001000001000100000001001100100010001010000001001100100010101001000000111011010001101110100101111011100011111,40,59
29,101000010001000000100001000000001000100000010001010000000010010000000100010000000010100000000100010000001001100100010101011000001001100100010011001000000111111010001101111010000101111111111110,34,63
30,101000010000100000100001000000001000100010010001010000000010001000001000010000000010001000000100110000001001100100010001001000001001100100010011000000010110111010001101110000100111111100111111,1,61
31,101000010001000000100001000000001000100000010001010000000010010000001000010000000100001000000100100000001001100100010001010000001001100100010101001000000111011010001101110100101111011100011111,3,59
32,101000010001000000101000000000001000100000010001010000000010001000001000010000000100100000001000100000001001100100010001011000001001100100010101001000000111011010001101110100101111011100011111,1,60
33,101000010001000000100001000000001000100000010001010000000010001000001000010000000010100000000100010000001001100100010001001000001001100100010101001000000111011010001101110100101111011100011111,1,59
34,101000010001000000100001000000001000100000010001010000000010001000001000010000000010001000000100010000001001100100010001001000001001100100010101001000000111011010001101110100101111011100011111,2,59
35,101000010001000000010001000000001000100000010001010000000010001000000100010000000100001000000100110000001001100100010001010000001001100100010011000000000111011010001101111000001111111100111110,1,59
