,bitstring,occurrences,rxn_count
0,111000001001000000010011000000001000100000010101010000000100001000000100010000000010010000000100000000001001100100010001000000001001110000010011001000010110011010001101110000001110111110111111,1,60
1,101000001001000000100011000000001000100000010001010000000010001000000100010000000100010000000100110000001001100100010001001000001001100100010011001000000110011010101101110000001111011111111111,142,62
2,101001001001000000010001000000001000100000010101010000000010001000000100010000000100010000000100110000001001100100010101001000001001110000010011001000000110011100001101110110001111110100111111,58,63
3,101000001000100000010100000000001000100000010010010000000010010000000100010000000100100000001001000000001001100100010001001000001001100100010011011000000110011100001101110000101110111111111101,53,60
4,101000001000100000010011000000001000100000010001010000000010010000000100010000000100001000000101000000001001100100010001000000001001110000010011001000000110011100001101110010001110111110111111,39,59
5,101000001001000000100011000000001000100000010001010000000010001000000100010000000100010000001000110000001001100100010001001000001001100100010011001000000110011010101101110000001111011111111111,37,62
6,101000001001000000010011000000001000100000010001010000000010001000000100010000000100001000001001000000101001100100010001000000001001100100010011001000000110011010101101110000001111011111111111,41,61
7,101000001000100000010011000000001000100000010001010000000010001000000100010000000100010000000100110000001001100100010001000000001001110000010011001000000110011100001101110010001110111110111111,47,60
8,101000001000100000010011000000001000100000010001010000000010001000000100010000000100010000000100110000001001100100010001000000001001110000010011001000010110011100001101110000001110111110111111,40,60
9,101000001001000000010011000000001000100000010001010000000010001000000100010000000010001000000000010000001001100100010001000000001001100110010011001000000110111101001101100100001111011111111111,52,61
10,101000001000100000010011000000001000100000010010010000000010001000000100010000000010001000001000010000001001100100010001000000001001100100010011001000000110111011001101110101001111011111101111,37,62
11,101000001001000000010011000000001000100000010001010000000010001000000100010000000100001000000101000000001001100100010001000000001001110000010011001000000110011100001101110010001110111110111111,44,59
12,101000001001000000010001000000001000100000010001010000001000010000000100010000000010001000000100100000001001100100010001010000001001110000110011001000000110011100001101111000001111101111111111,40,61
13,101000001001000000010011000000001000100000010001010000000010010000000100010000000100001000000101000000001001100100010001000000001001110000010011001000000110011010001101111010001110111110111111,63,60
14,110000001001000000100011000000001000100000010001010000000010010000000100010000000100001000000100010000001001100100010001000000001001100100010011001000000110111100001101110100001110111111111111,33,61
15,101000001001000000010011000000001000100000010001010000000010010000000100010000000100010000000101000000001001100100010001000000001001110000010011001000000110011100001101110010001110111110111111,55,59
16,101000001000100000010011000000001000100000010001010000000010001000000100010000000100001000000100010000001001100100010101001000001001100100011001001000000110011000101101110000011110011101111111,35,60
17,101000001001000000010011000000001000100000010010010000000100010000000100010000000010100000001000110000001001100100010001010000001001100100010011001000000111011010101101110000001111011111111111,57,63
18,101000001001000000010011000000001000100000010001010000000010001000000100010000000100010000000100100000001001100100010001000000001001110000010011001000010110011010001101110000001110111110111111,47,59
19,101000001001000000100011000000001000100000010001010000000010010000000100010000000100010000000101000000001001100100010001001000001001100100010011001000000110011010101101110000001111011111111111,42,61
20,101000001001000000100011000000001000100000010010010000000010001000000100010000000100001000000100110000001001100100010101000000001011100100010011001000000110011010000101110110001111111110111111,36,63
