,bitstring,occurrences,rxn_count
0,1111000001000100000010001000000001000100000010010000000001000010000001000100000000000010000001000100000010001001000111001001000001001101000010011000000000100011000001101111000011111111101111111,1,59
1,0101000001000100000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010001001000110101001000001001101000010011001000000110011000001101111100001111011111111011,458,59
2,0101000001000100000010001000000001000100000010001000000000100010000001000100000000110000000100001100000010001001000110011000000001001110000010011001000000110011100001101110000011111111101110111,26,59
3,0101000001000100000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010001001000110101001000001001101000010011001000000110011000001110110000001111111111111111,26,59
4,0101000001001000000010001000000001000100000010010000000000100010000001000100000000100010000001000100000010001000000110011000000001001101000010011001000000110111010001101111110001111011110111111,35,60
5,0101000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000010001001000110101001000000001101000010011001000000110011000001101111100001111011111111011,19,58
6,0101000001000100000010001000000001000100000100001000000000100010000001000100000000100010000010000100000010001001000110101001000001001101000010011001000000110011000001101111100001111011111111011,28,59
7,0101000001001000000010001000000001000100000010001000000001000010000001000100000000100010000001001100000010001001000110011000000001001101000010011001000000110011010001101111110001111011110111111,30,61
8,0101000001000100000010001000000001000100000100001000000001000010000001000100000000100010000001000100000010001001000110101001000001001101000010011001000000110011000001101111100001111011111111011,56,59
9,1010000001010000000010001000000001000100000010001000000000110000000001000100000000100010000010000100000010001000000111001001100001001101000010011000000000110111010001101110101001111111101111101,23,60
10,0101000001000100000010001000000010000100000100001000000000100010000001000100000000100010000001000100000010001001000110101001000001001101000010011001000000110011000001101111100001111011111111011,24,59
11,0101000001001000000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010001001000110101001000001001101000010011001000000110011000001101111100001111011111111011,71,59
12,0101000001000100000010001000000001000100000010011000000001000010000001000100000000100010000001000100000010001010000110101001000001001101000010011001000000110011000001101111100001111011111111011,26,60
13,0101000001001000000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010001000000110101001000001001110000010101001000000110011000001101111000011111111101111111,19,59
14,0101000001000100000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010001001000110101001000001001101000010011001000000110011000001101110000001111111011111111,15,58
15,0101000010000100000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010001001000110101001000001001101000010011001000000110011000001101111100001111011111111011,21,59
16,0101000001000100000010001000000001000100000010001000000001000010000001000100000000100010000001000100000010001001000110101000000001001101000010011000000000110011000001110110000001111111111111111,23,57
17,0101000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000010001001000110101001000001001101000010011001000000110011000001101111100001111011111111011,36,59
18,0101000001000100000010010000000001000100000010001000000001000010000001000100000000100010000001000100000010001001000110101001000001001101000010011001000000110011000001101111100001111011111111011,17,59
19,0101000001000100000010001000000001000100000100011000000000100010000001000100000000100010000001000100000010001010000110011000000001001101000010011001000000110011010001101111100011111011101111111,21,61
20,0011000001000100000010011000000001000100000010001000000001000010000001000100000010000010000001000100000010001001000110011000000001001100100010011000000000110011100001101111100001111010111111001,24,57
