,bitstring,occurrences,rxn_count
0,11000001000100000010001000000001000110010000001000000000100010000001010000000000110010000001000100000010011001000100100011000001001100000010011001000000110111010101101110000001111011111111111,39,62
1,11000001000100000010001000000001001000000010010000000000100010000001000100000000100010000001000100000010011001000100110001000001001100000010011000000000110111101001101111100001111001111111111,171,60
2,11000001001000000010001000000001001000000010010000000000100010000001000100000000100010000001000100000010011001000100110001000001001100000010011000000000110111101001101111100001111001111111111,314,60
3,11000001000100000010001000000001001000000010010000000000100010000001000100000000100010000001000100000010011001000110010101000001001100000010011010000000110111010001101110100111111111100111111,39,62
4,11000001000100000010001000000001000100000010001000000000100010000001001100000000110010000001000100000010011001000100111001000001001100100000011010000000110111100001101110100001111111111111111,23,64
5,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000010011001000100110011000001001100000010011010000000111011100001101110100001111111111111111,36,62
6,11000001001000000010001000000001001000000010010000000000100010000001000100000000100010000001000100000010011100000100110001000001001100100010011000000000110111101001101111100001111001111111111,36,61
7,11000001000100000010001000000010000100000010001000000000100010000001010000000000100010000001000100000010011001000100111001000001001100000010011010000000110111100001101110100001111111111111111,30,62
8,11000001000100000010001000000001000100000010010000000000100010000001000100000000100010000001000100000010011001000100110001000001001100000010011000000000110111101001101111100001111001111111111,78,60
9,11000001001000000010001000000001001000000010010000000000100010000001000100000000100010000001000100000010011001000100110001000001001100100010011000000000110111101001101111100001111001111111111,29,61
10,11000001001000000010001000000001001000000100010000000000100010000001000100000000100010000001000100000010011001000100110001000001001100000010011000000000110111101001101111100001111001111111111,35,60
11,11000001001000000010001000000001001000000010010000000000100010000001001100000000100010000001000100000010011001000100110001000001001100100010011000000000110111101001101111100001111001111111111,39,62
12,11000001100000000010001000000001001000000010010000000000100010000001000100000000100010000001000100000010011001000100110001000001001100000010011000000000110111101001101111100001111001111111111,28,60
13,11000001001000000010001000000001000100000010010000000000100010000001000100000000100010000001000100000010011001000100110001000001001100000010011000000000110111101001101111100001111001111111111,37,60
14,11000001000100000010001000000001000100000010001000000010000010000001000100000000100010000001000100000011001001000110010011000001001100000010011010000000111011010001110111000001111111111111111,29,62
15,11000001001000000010001000000001000100000010011000000010000010000001000100000000100010000001000100000010011001000100100011000001001100000010011000000000110111101001101111100001111001111111111,36,61
