,bitstring,occurrences,rxn_count
0,11000001000100000010001000000001000100000010010000000000100010000100000100000000100010000001000100000010011001000100010001000001001100100010011011000000111011100001100110100001111101111111111,280,60
1,11000001000100000010001000000001000100000010010000000000100010000100000100000000100010000001001000000010011001000100010001000001001100100010011001000000111011101001100111100001111001111111101,67,59
2,11000001000100000010001000001000001000000010010000000000100010000100000100000000100010000001000100000010011001000100010001000001001100000010011010000000110111100001101111100011111111001111111,33,60
3,11000001000100000010001000001000001000000110001000000000100010000001010000000000100010000010000100000011001001000100000011000001001100000010011010000000110111100001101111000001111111111111111,25,61
4,11000001000100000010001000000001001000000010010000000000100010000100000100000000100010000001000100000010011001000100010001000001001100100010011011000000111011100001100110100001111101111111111,91,60
5,11000001000100000010001000001000001000000010010000000000100010000100000100000000100010000001000100000010011001000100010001000001001100100010011011000000111011100001100110100001111101111111111,61,60
6,11000001001000000010001000000001001000000010010000000000100010000001000100000000100010000001000100000011011001000100010001000001001100100010011011000000101011100001100110100001111101111111111,35,60
7,11000001001000000010001000000001001000000010001000000000100010000001000100000000100010000001000100000010011001000100011001000001001100100010011010000000110111010001101111000011111111111011101,34,61
8,11000001000100000010001000000001001000000010010000000000100010000001000100000000100010000001000100000010011001000100010001000001001100100010011010000000110111100001101111100011111111001111111,3,61
9,11000001000100000010001000000001001000000010010000000000100010000100000100000000100010000001001000000010011001000100010001000001001100100010011001000000111011101001100111100001111001111111101,24,59
10,11000001000100000010001000000001000100000010010000000010000010000001000100000000100010000001000100000010011001000100010001000001001100100010011011000000111011100001100110100001111101111111111,27,60
11,11000001000100000010001000000001000100000010010000000000100010000001000100000000100010000001000100000010011001000100010001000001001100100010011011000000111011100001100110100001111101111111111,24,60
12,11000001000100000010001000000010001000000010010000000000100010000100000100000000100010000001000100000010011001000100010001000001001100100010011011000000111011100001100110100001111101111111111,28,60
13,11000001000100000010001000000001000100000010010000000000100010000100000100000000100010000001000100000010011001000100010001000001001100000010011011000000111011100001100110100001111101111111111,23,59
14,11000001000100000010001000000001001000000010010000000000100010000001010000000000100010000001000100000010011101000100010001000001001100100010011010000000010111100001101110101001111111101111111,25,61
15,11000001000100000010001000001000000100000010010000000000100010000100000100000000100010000001000100000010011001000100010001000001001100100010011011000000111011100001100110100001111101111111111,52,60
16,11000001000100000010001000000001000100000010010000000000100010000001000100000000100010000001000100000010011001000100010001000001001100000010011011000000111011100001100110100001111101111111111,36,59
17,11000001000100000010001000000001001000000100010000000000100010000100000100000000100010000001001100000010011001000100010011000001001100100010011010000000111011100001100110100001111101111111111,28,61
18,11000001000100000010001000000001000100000010010000000000100010000100000100000000100010000100000100000011001001000100010011000001001100100010011010000000110111100001101111100001111111011111111,25,62
19,11000001000100000010001000000001000100000010010000000000100010000001000100000000100010000001000100000010011001000100010001000001001100100010011010000000110111100001101111100011111111001111111,28,61
20,11000001000100000010001000001000001000000010010000000000100010000001000100000000100010000100000100000010011001000100010011000001001100100010011010000000110111100001101111000011111111111111001,20,61
21,11000001000100000010001000000010001000000010010000000010000010000001010000000000100010000001001000000010011001000100010001000001001100100000011001000000111011101001100111100001111001111111101,26,58
22,11000001000100000010001000000001001000000010010000000000100010000100000100000000110010000001001100000010011001000100010101000001001100100010011010000000111011010001101110000001111101111111011,1,61
23,11000001001100000010001000000001001000000010010000000010000010000001000100000000110010000001000100000000011001000100010001000001001100100010011010000000111011010001101110100011111111101111011,1,61
24,11000001001100000010001000000001001000000010010000000000100010000001000100000000100010000001000100000000011001000100010011000001001100000010011010000000110111011001101111100001111001111111111,2,61
