,bitstring,occurrences,rxn_count
0,111000001000100000000010000000001000100000010100010000000010010000001000010000000010001000000100110000001001101000010001001000001001100000010011001000000110011010001101111101101111011100111011,1,60
1,011000001001000000010010000000001000100000010001010000000010010000001000010000001000001000000100110000001001100100010011010000001001100100010011010000000110111000001101110100001111011111111111,22,62
2,011000010000100000100001000000001000100000010001010000000010001000000100010000000011000000000100110000001001100100010001011000001001100100010011010000000110111010001101110100000111011111111111,41,62
3,011000001001000000010100000000001000100000010001010000000010001000001000010000000010001000001000110000001001100100010001010000001001100100010011010000000110111010001101110100001111011111111111,39,62
4,011000010001000000010001000000001000100000010001010000000010010000001000010000000010100000000100110000001001100100010101011000001001100100010011010000000110111010000101110100000111011111111111,33,62
5,011000010001000000010010000000001000100000010001010000000010001000001000010000000010010000001000110000001001100100010011010000001001100100010011010000000110111000001101110100001111011111111111,40,62
6,011000010001000000010010000000001000100000010001010000000010010000001000010000000010001000001000110000001001100100010001000000001001100100010011010000000110111010001101110100101111011111111110,41,61
7,011000001000100000010010000000001000100000010001010000000010010000001000010000000100001000000100110000001001100100010101010000001001101100010101001000000110111010001100110100101111111111110111,41,64
8,011000010001000000010100000000001000100000010001010000000010001000001000010000000010001000000100110000001001100100010011010000001001100100010011010000000110111000001101110100001111011111111111,35,62
9,011000001001000000010010000000001000100000010001010000000010001000001000010000000010100000000100110000001001100100010011010000001001100100010011010000000110111000001101110100001111011111111111,223,62
10,011000001001000000010010000000001000100000010001010000000010001000001000010000000010001000001000110000001001100100010001010000001001100100010011010000000110111010001101110100001111011111111111,46,62
11,011000001001000000010100000000001000100000010001010000000010001000001000010000000010100000000100010000001001100100010011010000001001100100010011011000000110111000001101110100001111011111111111,39,62
12,011000010001000000010010000000001000100000010001010000000010010000001000010000000010001000001000110000001001100100010001000000001001100100010011010000000110111010001101110100001111011111111111,37,61
13,011000001001000000010010000000001000100000010001010000000010001000001000010000000010100000000100110000001001100100010011010000001001100100010011001000000110111010001101111000001111111111111111,32,64
14,011000001100100000100001000000001000100000010100010000000010010000001000010000000010001000001100010000001001100100010001011000001001100100010011010000000110111010001101110100000111111111111101,29,63
15,011000001001000000010010000000001000100000010001010000000010001000001000010000000010100000000100110000001001100100010001010000001001100100010011010000000110111010001101110100001111011111111111,56,62
16,011000001001000000010010000000001000100000010001010000000010001000001000010000000010100000000100110000001001100100010101010000001001100100010011010000000110111010001101110100001111011111111111,29,63
17,011000001001000000010100000000001000100000010001010000000010010000001000010000000010001000001000110000001001100100010001010000001001100100010011010000000110111010001101110100001111011111111111,34,62
18,011000010000100000011001000000001000100000010010010000000010010000001000010000001000001000000100110000001001000100010101010000001001100100010011010000000111011010001110110100001111011111111111,38,63
19,011000010001000000010010000000001000100000010001010000000010010000001010000000000010100000000100110000001001100100010011010000001001100100010011010000000110111000001101110100001111011111111111,42,62
20,011000010001000000010010000000001000100000010001010000000010001000001001010000000010100000000100110000001001100100010011010000001001100100010011010000000110111010001100100100001111111111111111,27,63
21,011000001001000000010010000000001000100000010001010000000010010000001000010000000010100000000100110000001001100100010011010000001001100100010011010000000110111000001101110100001111011111111111,34,62
22,011000010001000000010001000000001000100000010010010000000010010000001000010000000010100000000100110000011001100100010001000000001001100100010011001000000011011010001101110100001111111111111111,40,62
