,bitstring,occurrences,rxn_count
0,11100000000100001000000001000000000000000010001000000000100001000000000000010001000000000100001000000000010000010000000010000100000000000000100001000000001000010000000000010010000000001010000000000000000100001000000001000100000000000010000100000000100001000000000010001100000000100101001000000001001010000000010001100010000000001000010000000010001000000000001000110000000010001100000000000000110011101000001110101100100000001100011000000011001110010000000011110111010000111011110100010111111111110011111111,1,117
1,01100000000100001000000100001000000000000010000100000000100001000000000000010100000000000100001000000000010000010000000010001100000000000010000001000000001000010000000000100010000000001000010000000000001000001000000001000100000000000010000100000000100011000000000010001100000000100011010000000001000010000000010001100010000000001000010000000010001000100000001000110000000010001100010000000000110011100100001110101100100000001100011001000011010110000000000011110111010000111011110100000011111111111111111111,22,120
2,01100000000101000000000001000010000000000010001000000000100001000000000000010001000000000100001000000000010000010000000010000100000000000000100001000000001000010000000000010010000000001010000000000000000100001000000001000100000000000010000100000000100001000000000010001100000000100101001000000001001010000000010001100010000000001000010000000010001000000000001000110000000010001100000000000000110011101000001110101100000000001100011000000011001110010000000011101111000000111101111000010111111111110011111111,275,115
3,01100000000100001000000001001000000000000010000100000000100001000000000000010000100000000100001000000000010000010000000010001100000000000000100001000000001000010000000000010010000000100000100000000000001000001000000010000100000000000010000100000000100100000000000010001100000000100011000100000001000010000000010001100010000000001000010000000010001001000000001000110000000010001100010000000000110011100100001110101100000000001100011001000011001110000000010011110111000000111011110100000011111111111011111111,27,117
4,01100000000100100000000010000100000000000010000100000000100010000000000000010001000000000100001000000000001000010000000010000100000000000010000001000010000000010000000000100010000000001000010000000000000100001000000000000010000000000010000100000001000011000000000010001100000000100011000100000001000110000000010001100010000000001000010000000010001000100010001000110000000010001100010000000000110011100100001110101100100000001100011001000010010110000000000011110111010000111011110100000011111111111111111111,21,119
5,01100000000100001000000001000010000000000010001000000000100001000000000000010001000000000100001000000000010000010000000010000100000000000000100001000000001000010000000000010010000000001010000000000000000100001000000001000100000000000010000100000000100001000000000010001100000000100101001000000001001010000000010001100010000000001000010000000010001000000000001000110000000010001100000000000000110011101000001110101100000000001100011000000011001110010000000011101111000000111101111000010111111111110011111111,14,115
6,01100000000100100000000010000010000000000010000100000000100001000000000001000000100000000100001000000000010000010000000010001100000000000001000001000001000000010000000000010001000000001000010000000000000100010000000001000100000000000010000100000000100011000000000010001100000000100011000100000001000010000000010001100010000000001000010000000010001000100000001000110000000010001100010000000000110011100100001110101100000000001100011001000011001110000000000011110111010000111011110100010011111111111011111111,18,119
7,01100000000100010000000001000010000000000010001000000000100001000000000000010001000000000100001000000000010000010000000010001100000000000000100001000000001000100000000000010001000000001000010000000000000100001000000010000100000000000010000100000000100011000000000010001100000000100011000100000001000010000000010001100010000000001000010000000010001000100000001000110001000010001100010000000000110011100100001110101100000000001100011001000011001110100000000011110111010000111011110100000011111111111111111111,18,121
8,01100000000101000000000001000100000000000010001000000000100001000000000000010000100000000100001000000000001000010000000010000100000000000000100001000000001000010000000000010010000000001010000000000000000100001000000001000100000000000010000100000000100001000000000010001100000000100101001000000001001010000000010001100010000000001000010000000010001000000000001000110000000010001100000000000000110011101000001110101100000000001100011000000011001110010000000011101111000000111101111000010111111111110011111111,21,115
9,01100000000100001000000010000010000000000010000100000000100010000000000000010000100000000100001000000000001000010000000010000100000000000000100001000000010000100000000000010010000000001000010000000001000000001000000010000100000000000010000100000001000001000000000010001100000000100011000100000001001010000000010001100010000000001000010000000010001000100000001000110000000010001100010000000000110011100100001110101100100000001100011001000011010110000000000011110111010000111011110100000011111111111111111111,21,119
