,bitstring,occurrences,rxn_count
0,11100000000100010000000010001000000000000010000100000000100000000000000000011000000000000100001000000000001000010000001000001100000000000000100001000000001000010000000000010001000000010000100000000000001000001000000001000100000000000100000100000000100001000000000010001100000000100011000100000001000110000000010001100010000000001000010000000010001000100000001000110000000010001100010000000000110011100100001110101100000000001100011000000011001110010000000011101111010000111011110100000111111111110111111111,1,119
1,01000000010000001000000001000010000000000010000100000000100001000000000000010001000000000100001000000000001000010000000010000100000000000000100001000000001000100000000000010010000000001000010000000000001000001000000001000010000000000010000100000000100001000000000011000100000000100011000100000001000110001000010001100010000000001000010000000010001000100000001000110000000010001100010000000000111001100100001111001100100000001100011000110011010110000000000011101111010000111010100100000011111111111111111111,17,118
2,01000000010000001000000001000010000000000010000100000000100001000000000000010001000000000100001000000000001000010000000010000100000000001000000001000000001000100000000000010010000000001000010000000000001000010000000001000100000000000010000100000000100001000000000010001100000000100011000100000001000110000000010001100010000000001000010000000010001000000000001000110000000010001100010000000000111001100100001111001100100000001100011001000011010110000000000011101111010000111011110100000011111111111111111111,344,117
3,01000000010000001000000001000010000000000010000100000000100001000000000000010001000000000100001000000000001000010000000010000100000000001000000001000000001000100000000000010010000000001000010000000000001000010000000001000100000000000010000100000000100100000000000010001100000000100011000100000001000110001000010001100010000000001000010000000010001000000000001000110000000010001100010000000000110011100101001111001100100000001100011001000011001110100000000011101111010000111011110100100011111111110011111101,13,118
4,01000000010000001000000001000010000000000010000100000000100001000000000000010001000000000100001000000000001000010000000010000100000000001000000001000000001000100000000000010010000000001000010000000000001000010000000001000100000000000010000100000000100001000000000010001100000000100011000100000001000110000000010001100010000000001000010000000010001000000000001000110000000010001100010000000000111001100100001111001100100000001100011001000011010110000000000011101111010000111011110100001011111111111011111111,11,117
5,01000000010000001000000001000010000000000010000100000000100001000000000000010001000000000100001000000000001000010000000011000000000000000000100001000000001000010000000000000010000000001000010000000000000100010000000001000100000000000010000100000000100001000000000010001100000000100011000100000001000110000000010001100010000000001000010000100010001000000000001000110000000010001100010000000000111001100100001111001100100000001100010001000011010110000000000011101111010000111011110100000011111111111111111111,15,116
6,01000000000100001000000001000010000000000010000100000000100001000000000000010001000000000100001000000000001000010000000010000100000000000000100001000000001000010000000000010010000000001000010000000000000100010000000001000010000000000010000100000000100001000000000010001100010000100011000100000001000110000000010001100010000000001000010000000010001000000000001000110000000010001101010000000000010011100100001110101100100001001100011000000011001110000000001011101111000000111001110100000001111111111011111111,14,115
7,01000000000100001000000001000010000000000010000100000000100001000000000000010000100000000100001000000000001000010000000011000000000000000010000001000000001000010000000000010010000000001000010000000000000100001000000001000010000000000010000100000000100011000000000010001100000000100011000100000001000110000000010001100010000000001000010000000010001000100000001000110000000010001101010000000000110011100100001110101100100001001100011000000011001110000000001011101111000000111001110100000001111111111011111111,17,117
8,01000000010000001000000001000010000000000010000100000000100001000000000000010000100000000100001000000000001000010000000010000100000000001000000001000000001000100000000000010010000000001000010000000000001000010000000001000100000000000010000100000000100001000000000010001100000000100011000100000001000110000000010001100010000000001000010000000010001000000000001000110000000010001100010000000000111001100100001111001100100000001100011001000011010110000000000011101111010000111011110100000011111111111111111111,17,117
9,01000000001000001000000010000100000000000010000100000000100001000000000010000001000000000100001000000000001000010000000010000100000000000000100001000000001000100000000000100010000000001100000000000001000000001000000001000010000000000100000100000000100001000000000010001100000000100011000100000001000110000000010001100010000000001000010000000010001000000000001001010000000010001100000000000000110101100100001110101101000000001100011000000011010110110000000011101111000000111010110100001011111111111011111111,21,115
10,01000000010000001000000001000010000000000010000100000000100001000000000000010001000000000100001000000000001000010000000010000100000000000000100001000000001000100000000000010010000000001000010000000000001000010000000001000100000000000010000100000000100001000000000010001100000000100011000100000001000110000000010001100010000000001000010000000010001000100000001000110000000010001100010000000000111001100100001111001100000000001100011001000011001110000000001011101111000000111011110100000001111111111111111111,12,116
