,bitstring,occurrences,rxn_count
0,111000001000100000010011000000001000100000010010010000000010001000001000010000000010001000000100010000001001100100010001000000001001100100010011101000000110011011001101110000001111011111111111,1,62
1,011000001000100000010011000000001000100000010010010000000010001000000100010000000010001000100100010000001001100100010101011000001001100100010011001000000110111010001101110000000111111111111111,25,64
2,011000010001000000010011000000001000100000010001010000000010010000000100010000000010010000100100010000001001100100010101001000001001100100010011001000000110111010001101110000001111111111111111,33,64
3,011000001000100000010011000000001000100000010011010000001000001000001000010000000010001000001000010000001001100100010101010000001001100100010011101000000110011011001101110000000111011111111111,25,63
4,011000001000100000010011000000001000100000010001010000000010001000000100010000000010001000001000010000001001100100010101011000001001100100010011101000000110011011001101110000000111011111111111,207,63
5,011000001000100000010011000000001000100000010001010000000010010000000000010000000010010000000100100000001001100100010001011000001001100100010011001000000110011010001101111001100111111101110101,24,60
6,011000001001000000010011000000010000100000010001010000000010010000001000010000000010100000001000010000001001100100010101011000001001100100010011101000000110011011001101110000000111011111111111,24,63
7,011000001001000000010011000000001000100000010001010000000010001000001000010000000010001000000100010000001001100100010101011000001001100100010011011000000110011011001101011000000111011111111111,24,63
8,011000010000100000010011000000001000100000010001010000000010001000000100010000000010001000000100010000001001100100010101000000001001100100010101001000000110111011001101111000001111011111111111,22,63
9,011000001000100000010011000000001000100000010001010000000010010000000100010000000010100000000100010000001001100100010101011000001001100100010011001000000110011010001101111000100111111110111111,25,63
10,011000001000100000100001000000001000100000010001010000000010001000010000010000000010010000001000010000001001100100010101011000001001100100010011101000000110011011001101110000000111011111111111,28,62
11,011000001000100000010011000000001000100000010001010000000010001000000100010000000010001000100100010000001001100100010101011000001001100100010011001000000110111010001101110000000111111111111111,21,64
12,011000001001000000010011000000001000100000010001010000000010010000001000010000000010010000001000010000001001100100010101011000001001100100010011101000000110011011001101110000000111011111111111,28,63
13,011000001001000000010001000000001000100000010010010000000010001000000100010000000010001000000100010000001001100100010001010000001001100100010101001000000110111010001110110100001111111111111111,27,62
14,011000001000100000010001000000001000100000010001010000000010010000000100010000000010001000001000010000001001100100010101011000001001100100010011101000000110011011001101110000000111011111111111,30,62
15,011000010001000000010011000000001000100000010011010000000010010000000100010000000010010000100100010000001001100100010101010000001001100100010011001000000110111010001101110000000111111111111111,93,64
16,011000001001000000010011000000001000100000010001010000000010001000000100010000000010001000001000010000001001100100010101011000001001100100010011101000000110011011001101110000000111011111111111,55,63
17,011000001000100000010011000100001000100000010001010000000010010000001000010000000010001000000100010000001001100100010101000100001001100100010011001000000110011110001101110100000111110110111111,26,62
18,011000001000100000010001000000001000100000010001010000000010001000000100010000000010010000000100010000001001100100010101010000001001100100010011001000000110011010001101111001001111111111111110,21,62
19,011000010001000000010001000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010101010000001001100100010011001000000110111010001101111001101111111100111111,32,63
20,011000001000100000010011000000001000100000010001010000000010001000000100010000000010001000000100010000001001100100010101001000001001100100010011101000000110011011000101110000001111011111111111,33,62
21,011000001001000000100011000000001000100000010011010000000010001000010000010000000010001000000100010000001001100100010001010000001001100100010101101000000110011011001101110000000111111101111101,30,61
22,011000001000100000010011000000001000100000010011010000000010010000000100010000000010001000100100010000001001100100010100001000001001100100010011001000000110111010001101110000001111111111111111,21,64
23,011000010001000000010011000000001000100000010001010000000010001000001000010000000010001000000100010000001001100100010001011000001001100100011011011000000110011010001101110000000111101111111111,36,62
24,011000010000100000010011000000001000100000010011010000000100001000100000010000000010010000000100010000001001100100010101010000001001100100010011101000000110011011001101110000000111011111111111,21,63
25,011000001000100000010010000000001000100000010001010000000010010000000100010000000010010000000100010000001001100100010101011000001001100100010011101000000110011011001101110000000111011111111111,22,62
26,011000001000100000010011000000001000100000010001010000000010001000000100010000000010001000000100010000001001100100010101011000001001100100010011101000000111011011001101110000000101011111111111,18,63
27,101000001000100000100010000000001000100000010010010000000010001000000100010000001000001000000100010000101101100100010001001000001001100100010011001000000100111010001101110100000111111111111111,25,62
28,011000001000100000010011000000001000100000010001010000000010001000000100010000000010001000100100010000001001100100010101010000001001100100010011001000000110111010001101110100001111011111111111,20,64
29,011000010001000000010001000000001000100000010001010000000010010000000100010000000010001000001000010000001001100100010101011000001001100100010011101000000110011011001101110000000111011111111111,2,62
