,bitstring,occurrences,rxn_count
0,111000001010000000010011000000001000100000010001010000000000010000100000010000000010001000000100100000001001100100010001010000001001100100010011001000010110011010001110110100001110111110111111,1,61
1,011000001000100000010011000000001000100000010010010000000010010000100000010000000010001000000100110000001001100100010001010000001001100100010011001000010110011010001110110100001110111110111111,292,62
2,011000001010000000010001000000001000100000010010010000000010010000100100010000000100001000000100010000001001100100010001010000001001100000010011001000000110011010001101110100101110111110011111,33,59
3,101000001010000000010001000000001000100000010001010000001000010000000100010000000010010000000100010000001001100100010101010000001001100000010101001000000111011100001101110100011111111101111111,29,62
4,011000001000100000010010000000001000100000010011010000000010001000100000010000000010001000000101010000001001110100010001001000001001101100010011001000000110011000000101110000001110111111111111,35,61
5,011000001000100000010011000000001000100000010001010000000010010000100000010000000010010000000100110000001101100100010001010000001001100100010011001000010010011010001110110100001110111110110111,24,61
6,011000001000100000010011000000001000100000010001010000000010010000100000010000000010001000000100110000001001100100010001010000001001100100010011001000010110011010001110110100001110111110111111,92,62
7,011000001000100000010011000000001000100000010001010000000010001000001000010000000010001000000100110000001001100100010001000000001001100100010011001000010110011011001110110100001110101110111111,33,61
8,011000001000100000010011000000001000100000010101010000000010010000100000010000000010001000000100010000001001100100010001001000001001100100010011001000010110011010001101111000000110111110111111,20,61
9,011000001001000000010011000000001000100000010001010000000010001000000100010000000010010000000100110000001001100100010001010000001001100100010011001000010110011010001110110100001110111110111111,26,62
10,011000001000100000010011000000001000100000010010010000000010010000100000010000000010001000000100100000001001100100010001010000001001100100010011001000010110011010001110110100001110111110111111,39,61
11,011000001001000000010011000000001000100000010001010000000010010000100000010000000010001000000100110000001001100100010001010000001001100100010011001000010110011010001110110100001110111110111111,32,62
12,011000001001000000010011000000001000100000010010010000000010010000100000010000000010001000000100110000001001100100010001010000001001100100010010001000010110011010001110110100001110111110111111,33,61
13,011000001000100000100011000000001000100000010001010000000010001000100000010000000010010000000100110000001001100100010001010000001001100100010011001000010110011010001110110100001110111110111111,25,62
14,011000001001000000010001000000001000100000010001010000000010001000000100110000000010010000000100110000001001100100010001010000001001000100010011001000010110011010001110110100001110111110111111,31,61
15,011000001001000000010011000000001000100000010010010000000010001000100000010000000010001000100100010000001001100100010001011000001001100100010011001000010110011010001110110010101110111110110111,31,63
16,011000001001000000010011000000001000100000010010010000000010010000001000010000000010001000000100110000001001100100010001000000001001100100010011001000000111011000001101111001001110111111111110,30,61
17,011000001000100000010011000000001000100000010010010000000010010000010000010000000010001000000100110000001001100100010001010000001001100100010011001000000110011010011110110100011110011101011111,26,61
18,011000001001000000010011000000001000100000010010010000000010001000001000010000000010001000000100110000001001100100010001010000001001100100010011001000010110011010001110110100001110111110111111,23,62
19,011000001001000000010011000000001000100000010001010000000010010000001000010000000010001000000100110000001001100100010001010000001001100100010011001000010110011010001110110100001110111110111111,22,62
20,011000001000100000010100000000001000100000010001010000000010001000000100010000010000001000000100110000001001100100010001000000001001101000010011001000000110011010001101110100011111111101111111,26,61
21,011000001010000000010001000000001000100000010001010000000010010000001000010000000011001000000100110100001001100100010001010000001001100100010011001000000110011011001110010000001110011110111010,40,58
22,011000001001000000010011000000001000100000010001010000000010010000100000010000000100010000000100110000001101100100010001011000001001100100010011001000000010011010001101110100001110111111111101,33,62
23,011000001000100000010011000000001000100000010001010000000010010000100000010000000010000000000100010000001001100100010001010000001001100110010011001000010110011010001110100100001110111110111111,23,60
