,bitstring,occurrences,rxn_count
0,111000000001000000010011000000001000100000010001010000000010001000000100010000000010001000000100010000001001100100010001001000001001100100010011010000000110011010001101110100001111111111111111,1,62
1,101000001000100000010100000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010101011000001001100100010011001000000110111010001101110100000111111111111111,22,63
2,101000010100000000000010000000001000100000010001010000000010010000000000010000000100001000000100010000001001100100010001000000001001100100010001001000000111011100001101110100101111111111110111,31,58
3,101000001000100000010100000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010001001000001001100100010011001000000110111010001101110100001111111111111111,191,62
4,101000010001000000010001000000001000100000010011010000000010010000001000010000000010001000000100010000001001100100010010001000001001100100010011001000000110111010001101110100001111111111111111,34,63
5,101000001000100000010100000000001000100000010001010000000010010000100000010000000010001000000100010000001001100100010001001000001001100100010101001000000110111010001110110100011111111101111111,20,62
6,101000001010000000010100000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010101001000001001100100010011001000000110111010001101110100001111111111111111,27,63
7,101000001100100000011000000000001000100000010010010000000010010000000100010000001000001000000100010000001001100100010001001000001001100100010011001000000111011010001101110100101111111110111101,39,62
8,101000010000100000010001000000001000100000010001010000000010001000001000010000001000001000000100010000001001100100010001000000001001100100010101001000000110111010001101110101001111111111101111,25,61
9,101000010001000000010001000000001000100000010001010000000010010100100000010000000100001000000100010000001001100100010001011000001001100100010101001000000110111010001100111000010111111101111111,41,62
10,101000001000100000010001000000001000100000010001010000000010001000000100010000000010001000000100010000001001100100010001001000001001100100010011001000000110111010001101110100001111111111111111,53,62
11,101000001100100000010001000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010001000000001001100100010011001000000110111010011101110100001111011101111111,31,61
12,101000001000100000010001000000001000100000010010010000000010010000100000010000000010001000000100010000001001100100010001001000001001100100010011001000000110111010001101111000011111111101111111,28,62
13,101000001000100000010010000000001000100000010001010000000010010000100000010000000010001000000100010000001001100100010001001000001001100100010011001000000110111010001101110100001111111111111111,54,62
14,101000001000100000010100000000001000100000010001010000000010010000001000010000000010001000000100010000001001100100010001000000001001100100010101001000000110111010001110110100011111111101111111,28,61
15,101000001000100000010001000000001000100000010001010000000010010000100000010000001000001000000100010000001001100100010001001000001001100100010011001000000110111010001101110100001111111111111111,29,62
16,101000001010000000010001000000001000100000010001010000000010010000001000010000001000100000000100010000001001100100010001011000001001100100010011001000000110111010001101110100100111111111111110,34,62
17,101000001000100000010001000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010001000000001001100100010011001000000110111100001101110100001111111111111111,30,61
18,101000001000100000010100000000001000100000010010010000000010010000000100010000000010001000000100010000001001100100010001001000001001100100010011001000000110111010001101110100001111111111111111,27,62
19,101000001010000000010001000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010101001000001001100100010011001000000110111011001101110100001111101111111111,27,63
20,101000001000100000010100000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010101010000001001100100010101001000000110111010001101110100001111111111111111,18,63
21,101000001100100000010100000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010001001000001001100100010011001000000110111010001101110100001111111111111111,33,63
22,101000001000100000010100000000001000100000010001010000000010010000001000010000000010001000000100010000001001100100010001001000001001100100010011001000000110111010001101110100001111111111111111,29,62
23,101000001000100000010001000000001000100000010001010000000010001000000100010000001000001000000100010000001001100100010001001000001001100100010011001000000110111010001101110100001111111111111111,20,62
24,101000001000100000010100000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010001001000001001100100010101001000000110111010000101110100001111111111111111,28,61
25,101000001100100000100001000000001000100000010001010000000010010000100000010000000010100000000100010000001001100100010001001000001001100100010011001000000110111010001101110100001111111111111111,30,63
26,101000001000100000010001000000001000100000010001010000000010010000001000010000000010001000000100110000001001100100010001010000001001100100010100001000000110111010001101110100001111111111111111,29,62
27,101000001000100000010001000000001000100000010001010000000010010000000100010000000010001000000100010000001001100100010001001000001001100100010011001000000110111010001101110100001111111111111111,21,62
28,101000001010000000010100000000001000100000010001010000000010010000000100010000001000001000000100010000001001100100010001010000001001100100010101001000000110111010001101110100001111111111111111,17,62
29,101000010001000000010001000000001000100000010011010000000010010000001000010000000010001000000100010000001001100100010010001000001001100100010101001000000110111010001101110100001111111111111111,2,63
