,bitstring,occurrences,rxn_count
0,11000001000100000010001000000010000100000010001000000000100010000001000100000000100010000001000100000010011001000100110011000001001100000010011001000000111011010001101110100011111111101111111,34,62
1,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000010011001000100110011000001001100000010011001000000111011010001101110100011111111101111111,662,62
2,11000001000100000010001000000001000100000010001000000000100010000001000100000001000010000001000100000010011001000100110011000001001100000010011001000000111011010001101110100011111111101111111,33,62
3,11000001000100000010001000000001000100000011000000000001000010000001100000000000100010000001000100000010011001000100110011000001001100000010011001000000111011100001101111000011111111101111111,42,62
4,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000010011001000100110011000001001100100010011001000000111011010001101110100101111111110011111,26,62
5,11000001000100000010001000000001000100000010010000000000100010000001000100000000100010000001001100000010011001000100110011000001001100000010011001000000111011010001101111000011111111101111111,38,63
6,11000001000100000010001000000001000100000010001000000000100010000001001000000000110010000001000100000010011001000101010101000001001100100010011100000000111011100001101110100011111111101111111,32,64
7,11000001000100000010001000000001000100010000001000000000100010000001000100000000100010000001000100000010011001000100110011000001001100000010011001000000111011010001101110100011111111101111111,35,62
8,11000001000100000010001000000001000100000010001000000000100010001000000100000000100010000001000100000010011001000100111001000001010100000010011001000000110111100001101111000001111111111111111,37,62
9,11000001000100000010001000000001000100000110001000000001000010000010100000000000100010000001001100000011001010000100100011000001001100100010011001000000111011010001101110100001111111111111111,31,64
10,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001010000000010011001000100110011000001001100000010011001000000111011010001101110100011111111101111111,27,62
11,11000001000100000010001000000001000100000010001000000000100010000001001000000000100010000001000100000010011001000100110011000001001100000010011001000000111011010001101110100011111111101111111,2,62
