,bitstring,occurrences,rxn_count
0,111000001001000000010011000000001000100000010010010000000010001000000100010000000000010000000100110000001001100100010011001000001001100100010011001000100110011010001101110011000111111110101111,1,63
1,101000001000100000010100000000001000100000010001010000000010010000001000010000001000010000000100110000001001100100010011011000001001100100010011010000000111001010001101110100101111011101011111,263,62
2,101000001000100000010100000000001000100000010001010000000010010000001000010000001000010000000100110000001001100100010011011000001001100100010011010000000110001010001101110100101111011101011111,34,61
3,101000001000100000010011000000001000100000010001010000000010010000010000010000000010010000000100110000001001100100010101000000001001101100010101001000000110011010001100110100001111111100111111,34,61
4,101000001000100000010100000000001000100000010001010000000010010000001000010000000010010000000100110000001001100100010011011000001001100100010011001000000110001010101101110100001111011101111011,32,61
5,101000001001000000100011000000001000100000010001010000000010010000001000010000000100100000000100110000001001100100010011000000001001100100010011010000010110011010001101110100000111011111111111,31,62
6,101000001000100000010011000000001000100000010001010000000010010000001000010000001000010000000100110000001001100100010011011000001001100100010011010000000111001010001101110100101111011101011111,27,63
7,101000010000100000100010000000001000100000010001010000000010001000000100010000000010001000000100110000001010100100010101000000001001100100010101010000000110011010001101110101001111011101111111,38,61
8,101000001000100000010100000000001000100000010001010000000010010000001000010000001000100000000100110000001001100100010011011000001001100100010011010000000111001010001101110100101111011101011111,26,62
9,101000001000100000010100000000001000100000010001010000000010010000001000010000001000010000001000110000001001100100010011011000001001100100010011010000000111001010001101110100101111011101011111,25,62
10,101000001001000000010011000000001000100000010001010000000010001000001000010000000010100000001000110000001001100100010101000000001001100100010011001000010110011010001101110000011111111111011101,23,62
11,101000001010000000100100000000001000100000010001010000000100010000010000010000000010001000000100110000001001100100010011011000001001100100011001001000000110001011101101110100001111001101111011,38,61
12,101000001001000000010011000000001000100000010001010000000010010000000000010000000010010000000100110000001001100100010011001000001001100000010001011000010110011010001101110010100111111100110011,33,59
13,101000001001000000010011000000001000100000010001010000000010010000010000010000000010010000001000110000001001100100010101001000001001100100010101010000010110011010001101110101001111011101111101,34,63
14,101000010001000000010011000000001000100000010001010000000100010000001000010000000010010000001000110000001001110100010011011000001001100100010011010000000111000010001101110100101111011101011111,35,63
15,101000010001000000010100000000001000100000010001010000000100001000000100010000000010001000001000110000001001100100010101001000001001100100010011011000000110011010001101110000001111111100111110,27,60
16,101000001000100000010100000000001000100000010001010000000010010000000100010000000010010000000100110000001001100100010011011000001001100100010011010000000111001010001101110100101111011101011111,44,62
17,101000001001000000010011000000001000100000010001010000000100010000001000010000000100010000000100110000001001100100010011001000001001100100010011001000100110011010001101110011000111111110101111,30,63
18,101000001001000000010100000000001000100000011000010000000010010000010000010000000010001000000100110000001001100100010011011000001001100100011011001000000111001010001101010100001111011101111111,32,62
19,101000001001000000010011000000001000100000010001010000000010010000001000010000000010010000000100110000001001100100010011011000001001100100010011010000000111001010001101110100101111011101011111,32,63
20,101000001000100000100001000000001000100000010001010000000010010000001000010000000010010000001000110000001010100100010101000000001001100100010101010000000110011010001101110101001111011101111111,30,61
21,101000001000100000100100000000001000100000010001010000000010010000001000010000000100010000001000110000001001100100010011011000001001100100010011001000000111001010101101111000001111011101111011,27,62
22,101000010000100000010011000000001000100000010001010000000100010000001000010000000100010000000100110000001001100100010011011000001001100100010011010000000111001010001101110100101111011101011111,28,63
23,101000010000100000010011000000001000100000010001010000000010010000001000010000000100010000001000110000001001100100010101000000001001100100010011001000000110011010101101110100001111011101111111,33,62
24,101000010000100000010011000000001000100000010001010000000010001000001000010000000100010000000100110000001001100100010011011000001001100100010011010000000111001010001101110100101111011101011111,41,63
25,101000001001000000010011000000001000100000010001010000000010010000000000010000000010100000000100110000001001100100010011001000001001100100010001001000010110011010001101110010100111111100110111,1,60
