,bitstring,occurrences,rxn_count
0,11000001000100000010001000000001000100000010001000000000100010000011000100000000100010000001000100000011001010000110011001000001001100100010011010000000110111010001001110101101111111100111111,27,63
1,11000001001000000010001000000010000100000010001000000000100010000001000100000000100010000001000100000011001001000110010011000001001100000010011100000000110111010001110111101001111111001111111,32,62
2,11000001001000000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000110010011000001001100000010011100000000110111010001101110100001111111111111111,37,62
3,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000010011001000100111001000001001100100010011001000000110111010001100110101001111111101011111,34,61
4,11000001001000000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000110010011000001001100000010011100000000110111010001110111101001111111001111111,301,62
5,11000001001000000010001000000001000100000010001000000000100010000001001000000000100010000001000100000011001001000101011001000001001100000011011001000000110111010001100110000111111111100111111,39,61
6,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001010100000011001010000110010011000001001100000010011001000000110111010001110110100111111111100111111,31,63
7,11000001001000000010001000000001001000000010001000000000100010000001000100000000100010000001000100000011001001000110010011000001001100000010011100000000110111010001110111101001111111001111111,32,62
8,11000001100000000010001000000001000100000011000000000000100010000001000100000000100010000001000100000010011001000100110001000001001100100010011001000000110111100001101110101001111111101011111,22,61
9,11000001001000000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000110011001000001001100000010011010000000110111010001110110100001111111111111101,59,61
10,11000001001000000010001000000001000100000010001000000000100010000001001100000000100010000001000100000011001001000110010011000001001100110010011001000000111011010001001110000101111111100111111,26,62
11,11000001001000000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000110010011000001001100100010011001000000111111010001101111100001101011111111111,35,63
12,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000110010011000001001100000010011100000000110111010001110111101001111111001111111,66,62
13,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001100000100110011000001001100100010011001000000110111110101101110101000111110101111111,30,63
14,11000001100000000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000110010011000001001100000010011100000000110111010001110111101001111111001111111,42,62
15,11000001001000000010010000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000110011001000001001100000010011100000000110111010001110110100001111111111111101,26,61
16,11000001001000000010001000000001000100000010001000000000100010000001000100000000100010000010000100000010011001000100111001000001001100100010011001000000110111010001100110101001111111101011111,27,61
17,11000001001100000010001000000001100100000010001000000010000010000001000100000000100010000001000100000000011001000000110011000001001100100010011001000000110111010001101110100001111111111111111,36,63
18,11000001001000000100001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000110010011000001001100000010011100000000110111010001110111101001111111001111111,28,62
19,11000001000100000010001000000001000100000010001000000000100010000001000100000000100010000001000100000011001001000110011001000001001100000010011010000000110111010001110110100001111111111111101,33,61
20,11000001000100000010001000000001000100000100001000000000100010000001000100000000100010000001000100000011001001000110011001000001001100000010011010000000110111010001110110100001111111111111101,36,61
