,bitstring,occurrences,rxn_count
0,111000001000100000010001000000001000100000010001010000000010010000000100010000000100000000000100110000001001100100010001001000001001100100010011001000000110111010001101110100101111111110111111,1,63
1,011000001001000000010001000000001000100000010001010000000010010000010000010000000010001000000100100000001001100100010001000000001001100100010011001000000110011010001101111000001110111111111111,24,59
2,011000001000100000100011000000001000100000010011010000000010010000001000010000000010010000000100010000001001100100010000001000001001100100010101001000000110011000001101110100011111111111111011,34,61
3,011000001001000000010011000000001000100000010001010000000010100000000100010000000010001000000100100000001001100100010001010000001001100100010011001000000110011010001101111000001110111111111111,285,61
4,011000001000100000010011000100001000100000010001010000000010010000001000010000000100001000000100100000001001100100010101010000001001100100010011001000000110011010001101111000001110111110111111,28,62
5,011000001000100000000001000000001000100000010001010000000010001000100100010000000010001000000000100000001001100100010001010000001001100100010011001000000110011010101101111000101111011111110111,28,60
6,011000010000100000010001000000001000100000010001010000000010001000000100010000000010001000000100100000001001100100010001010000000001100100010011001000000110011010001101111000001110111111111111,29,59
7,011000001001000000010011000000001000100000010001010000000010100000000100010000000010001000000100100100001001100100010001000000001001100100010011001000000110011010001101111000001110111110111111,31,60
8,011000001010000000010011000000001000100000010010010000000010100000000100010000000010001000001000010000001001100100010001001000001001101100011001001000000110011010001100110100001111111111111111,26,62
9,011000001001000000100011000000001000100000010010010000000010001000001000010000000010001000000100100000001001100100010001000000001001100100010011001000000110011011001101111000001110101111111111,23,60
10,011000001001000000010011000000001000100000010010010000000010001000001000010000000010001000000110000000001001100100010001000000001001100100010011001000000111111000001101111000001110111111111110,26,60
11,011000001010000000010011000000001000100000010001010000000010001000001000010000000010001000001000100000001001100100010001010000001001100100010011001000000111011010001110110100001111111111111111,29,63
12,011000001001000000010011000000001000100000010001010000001000100000000100010000000010001000000100100000001001100100010001010000001001100100010011001000000110011010001101111000001110111111111111,29,61
13,011000001001000000100011000000001000100000010001010000000010001000001000010000000010001000001000010000001001100100010101010000001001100100010011001000000110011010001101111101101110011100111111,23,62
14,011000001001000000010011000000001000100000010001010000000010100000000100010000000010001000001000100000001001100100010001000000001001100100010011001000000110011010001101111000001110111111111111,26,60
15,011000001000100000010011000000001000100000010010010000000010001000000100010000000010001000000100100000001001100100010001011000001001100100010011001000000111011010001101110110001111111111111101,26,64
16,011000001001000000010011000000001000100000010001010000000010010000000100010000000010001000000100100000001001100100010001000000001001100100010011001000000110011010001101111000001110111111111111,37,60
17,011000001010000000010011000000001000100000010001010000000010100000000100010000000010001000001000010000001001100100010001010000001001100100010011001000000110011010001101111000001110111111111111,20,61
18,011000001000100000100011000000001000100000010001010000000010100000000100010000000010001000000100100000001001100100010001000000001001100100010011001000000110011010001101111000001110111111111111,28,60
19,011000001001000000010011000000001000100000010001010000000010010000100000010000000010001000000100100000001001100100010001010000001001100100010011001000000110011010001101111000001110111111111111,32,61
20,011000001010000000100011000000001000100000010001010000000010100000001000010000000010001000000100010000001001100100010001000000001001100100010011010000010110011010001101111000001110111110111111,27,60
21,011000001001000000010011000000001000100000010001010000000010001000100000010000000010001000000100100000001001100100010001000000001001100100010011001000000110011010101101111001001111011111101111,31,61
22,011000001000100000010010000000001000100000010011010000000010100000000100010000000010001000001000100000001001100100010000001000001001100100010011001000000110011010001101111000001110111111111111,30,60
23,011000001001000000010001000000001000100000010001010000000010100000000100010000000010001000000100100000001001100100010001010000001001100100010011001000000110011010001101111000001110111111111111,31,60
24,011000001001000000010011000000001000100000010001010000000010010000000100010000000010001000000100100000001001100100010001010000001001100100010011001000000110011010001101111000001110111111111111,24,61
25,011000001010000000010011000000001000100000010011010000000010010000000100010000000010001000000100100100001001100100010001001000001001100100010011001000000110011010001101111000001110111110111111,23,62
26,101000001000100000010001000000001000100000010001010000000010010000001000010000000100001000000100110000001001100100010001001000001001100100010011001000000110111010001101110100101111111110111111,25,63
27,011000001000100000010011000000001000100000010001010000000010100000000100010000000010001000000100100000001001100100010001000000001001100100010011001000000110011010001101111000001110111111111111,23,60
